layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
features.0.0,conv,0,32,1,False,27.0,0,32.0,32.0,160000,23.46066902644755,3.523781906402882,0.11011818457509007,4.870974284016615,0.15221794637551922,2.1269564018529685,0.06646738755790527,20.054239952139156,10,32,0.9086623190036969,29,5,5,9,12,0.15625,0.15625,0.28125,0.375,5000.0,32.0,10000.0,5.8291356269509915,2.2873572648509937,0.07147991452659355,2.612347936714842,0.08163587302233881,1.7031398056057432,0.053223118925179475,17.467732297734347,10.0,32.0,0.8632419962914475,26.0,3.0,3.0,3.0,4.0,0.09375,0.09375,0.09375,0.125,312.5,50,79.76
features.1.conv.0.0,conv,1,32,32,True,32.0,0,32.0,32.0,160000,0.5442603300210421,7.924295400526717,0.24763423126645992,10.134056908236495,0.31668927838239047,4.93804436099928,0.1543138862812275,41.88645819598678,10,32,0.4521347866076084,26,9,11,16,20,0.28125,0.34375,0.5,0.625,5000.0,32.0,10000.0,0.040051593085167106,2.604426681114492,0.08138833378482788,3.4261841026985707,0.10706825320933033,1.854206797356481,0.057943962417390034,37.44159919929559,10.0,32.0,0.42623500446649676,26.0,3.0,4.0,8.0,13.0,0.09375,0.125,0.25,0.40625,312.5,50,79.76
features.1.conv.1,conv,2,16,1,False,16.0,0,32.0,32.0,160000,1.2442386553109384,5.957852860021036,0.37236580375131473,6.794002834816372,0.42462517717602327,4.014288083855575,0.2508930052409734,,10,16,,16,6,7,8,11,0.375,0.4375,0.5,0.6875,10000.0,16.0,10000.0,0.12533590921981774,3.0571708833679248,0.1910731802104953,3.5539623934769002,0.22212264959230626,2.3003906821914306,0.1437744176369644,,10.0,16.0,,16.0,3.0,4.0,5.0,8.0,0.1875,0.25,0.3125,0.5,625.0,50,79.76
features.1,block,3,16,1,False,,0,32.0,32.0,160000,1.803314891245694,5.9130616129493365,0.36956635080933353,6.759921238245755,0.4224950773903597,4.022796018024162,0.25142475112651014,,10,16,,16,6,7,8,11,0.375,0.4375,0.5,0.6875,10000.0,16.0,10000.0,0.18316371630064096,2.9430277598431553,0.1839392349901972,3.469387726413203,0.2168367329008252,2.1628336513811233,0.1351771032113202,,10.0,16.0,,16.0,3.0,4.0,5.0,8.0,0.1875,0.25,0.3125,0.5,625.0,50,79.76
features.2.conv.0.0,conv,4,96,1,False,16.0,0,32.0,32.0,160000,4.710663151830749,4.8709559135885065,0.050739124099880274,5.665904418296869,0.05901983769059239,3.265171490256118,0.03401220302350123,6.776932448845011,10,96,0.7843574988746848,54,5,6,7,8,0.052083333333333336,0.0625,0.07291666666666667,0.08333333333333333,1666.6666666666667,96.0,10000.0,0.42985433607046497,2.7425080540836055,0.028567792230037557,3.258055365525703,0.03393807672422607,2.016793065249072,0.021008261096344502,5.8672882745862855,10.0,96.0,0.8414976013173,54.0,3.0,3.0,5.0,7.0,0.03125,0.03125,0.052083333333333336,0.07291666666666667,104.16666666666667,50,79.76
features.2.conv.1.0,conv,5,96,96,True,96.0,0,32.0,32.0,160000,0.4398061883865586,13.626991120124075,0.14194782416795912,22.080604087033915,0.23000629257326996,5.658247236175479,0.05894007537682791,6.754023742792016,10,96,0.09804531096083069,91,21,30,53,77,0.21875,0.3125,0.5520833333333334,0.8020833333333334,1666.6666666666667,96.0,10000.0,0.02004027275361974,3.45106349528918,0.03594857807592896,5.012527347986054,0.052213826541521395,2.204570149511073,0.022964272390740347,5.1744547143719455,10.0,96.0,0.44931733909640936,91.0,5.0,6.0,13.0,32.0,0.052083333333333336,0.0625,0.13541666666666666,0.3333333333333333,104.16666666666667,50,79.76
features.2.conv.2,conv,6,24,1,False,24.0,0,32.0,32.0,160000,1.9249944383149469,6.407357349335691,0.2669732228889871,9.07809179091827,0.37825382462159457,3.2679525321021226,0.13616468883758845,7.873181827089957,10,24,0.9485652426709543,24,9,11,15,19,0.375,0.4583333333333333,0.625,0.7916666666666666,6666.666666666667,24.0,10000.0,0.09877222569276894,4.126259609257406,0.1719274837190586,5.455476545438715,0.22731152272661312,2.700040754713159,0.11250169811304829,8.469587906875104,10.0,24.0,0.9455884605701351,24.0,5.0,6.0,9.0,15.0,0.20833333333333334,0.25,0.375,0.625,416.6666666666667,50,79.76
features.2,block,7,24,1,False,,0,32.0,32.0,160000,3.3347934989497654,6.767365299498287,0.281973554145762,9.292377300088578,0.3871823875036908,3.453440767067995,0.14389336529449978,8.576614741342349,10,24,0.9544400000749688,24,9,11,14,18,0.375,0.4583333333333333,0.5833333333333334,0.75,6666.666666666667,24.0,10000.0,0.16461224336027963,4.13253045487344,0.17218876895306,5.506792069734855,0.22944966957228563,2.5748596729580537,0.10728581970658557,9.257659659487674,10.0,24.0,0.9424325261220194,24.0,5.0,6.0,10.0,14.0,0.20833333333333334,0.25,0.4166666666666667,0.5833333333333334,416.6666666666667,50,79.76
features.3.conv.0.0,conv,8,144,1,False,24.0,0,32.0,32.0,160000,5.3362068033107946,3.769288128673425,0.026175612004676566,5.556724036786656,0.038588361366574,2.194487092975361,0.015239493701217783,10.103598582486306,10,144,0.89511078437552,78,5,7,11,14,0.034722222222222224,0.04861111111111111,0.0763888888888889,0.09722222222222222,1111.111111111111,144.0,10000.0,0.19151086788162533,3.0892753847021712,0.021453301282653967,4.254341838371796,0.029544040544248584,1.989266518751132,0.01381435082466064,9.044258849073184,10.0,144.0,0.9007579180135767,79.0,4.0,5.0,8.0,12.0,0.027777777777777776,0.034722222222222224,0.05555555555555555,0.08333333333333333,69.44444444444444,50,79.76
features.3.conv.1.0,conv,9,144,144,True,144.0,0,32.0,32.0,160000,0.28253783315769526,10.838242288224011,0.07526557144600007,18.373604473724534,0.12759447551197592,5.260121993869102,0.03652862495742432,7.544989272241301,10,144,0.3301696717340755,126,19,29,56,87,0.13194444444444445,0.2013888888888889,0.3888888888888889,0.6041666666666666,1111.111111111111,144.0,10000.0,0.0015649572098402063,3.124754090742281,0.021699681185710286,5.130439881453668,0.035628054732317144,1.9163603164484162,0.013308057753114002,7.733568638985142,10.0,144.0,0.3634571352074474,126.0,5.0,7.0,18.0,45.0,0.034722222222222224,0.04861111111111111,0.125,0.3125,69.44444444444444,50,79.76
