epoch,lr,train_loss,top1,top5,seconds,img_per_s
1,0.10000,4.9347,19.818,42.558,642,1994
2,0.10000,3.5381,31.956,58.182,571,2244
3,0.10000,3.1170,38.858,65.986,570,2247
4,0.10000,2.9277,39.404,65.812,629,2037
5,0.10000,2.8144,39.772,66.314,569,2253
6,0.10000,2.7436,42.330,68.768,597,2146
7,0.10000,2.6970,43.696,70.526,568,2256
8,0.10000,2.6575,45.600,72.062,596,2149
9,0.10000,2.6318,45.260,71.704,567,2260
10,0.10000,2.6105,46.284,72.878,604,2122
11,0.10000,2.5943,42.800,69.460,567,2260
12,0.10000,2.5753,43.110,69.450,589,2175
13,0.10000,2.5656,46.488,72.936,566,2264
14,0.10000,2.5556,46.608,72.620,608,2108
15,0.10000,2.5419,47.352,73.848,567,2259
16,0.10000,2.5350,46.250,72.622,626,2047
17,0.10000,2.5278,46.892,72.884,567,2260
18,0.10000,2.5221,47.368,73.884,584,2193
19,0.10000,2.5137,48.434,74.720,568,2254
20,0.10000,2.5091,47.532,74.144,575,2227
21,0.10000,2.5019,45.690,72.306,572,2241
22,0.10000,2.5007,48.030,74.322,612,2094
23,0.10000,2.4928,46.972,73.318,567,2259
24,0.10000,2.4907,46.722,72.888,589,2173
25,0.10000,2.4852,46.530,73.262,569,2250
26,0.10000,2.4831,48.902,74.916,575,2228
27,0.10000,2.4811,46.516,73.416,568,2254
28,0.10000,2.4785,44.726,71.218,619,2069
29,0.10000,2.4729,47.360,73.376,572,2241
30,0.10000,2.4704,49.414,75.276,573,2236
31,0.01000,1.9504,61.898,84.414,584,2193
32,0.01000,1.8342,62.910,85.126,624,2052
33,0.01000,1.7871,63.660,85.412,568,2256
34,0.01000,1.7588,63.712,85.766,594,2158
35,0.01000,1.7401,64.022,85.910,566,2263
36,0.01000,1.7287,64.098,85.728,595,2152
37,0.01000,1.7187,63.872,85.816,569,2252
38,0.01000,1.7132,63.658,85.412,627,2044
39,0.01000,1.7098,63.796,85.582,570,2248
40,0.01000,1.7089,64.168,85.998,631,2030
41,0.01000,1.7067,64.016,85.716,571,2244
42,0.01000,1.7099,63.866,85.760,581,2206
43,0.01000,1.7103,63.584,85.664,583,2198
44,0.01000,1.7075,63.794,85.782,652,1964
45,0.01000,1.7076,63.880,85.520,568,2257
46,0.01000,1.7100,63.408,85.342,658,1947
47,0.01000,1.7090,64.230,85.746,576,2224
48,0.01000,1.7095,63.712,85.674,573,2235
49,0.01000,1.7091,63.356,85.328,576,2222
50,0.01000,1.7084,63.858,85.692,639,2006
51,0.01000,1.7077,63.536,85.234,570,2249
52,0.01000,1.7028,63.966,85.922,623,2056
53,0.01000,1.7042,63.404,85.510,570,2246
54,0.01000,1.6999,63.212,85.326,651,1969
55,0.01000,1.7011,63.528,85.546,567,2260
56,0.01000,1.6959,63.804,85.718,618,2073
57,0.01000,1.6931,63.396,85.472,575,2228
58,0.01000,1.6927,63.826,85.844,638,2009
59,0.01000,1.6914,63.350,85.434,569,2251
60,0.01000,1.6911,63.804,85.762,568,2254
61,0.00100,1.5001,67.748,88.194,572,2239
62,0.00100,1.4550,68.052,88.296,639,2004
63,0.00100,1.4325,68.220,88.470,568,2256
64,0.00100,1.4228,68.480,88.440,616,2081
65,0.00100,1.4146,68.542,88.490,569,2253
66,0.00100,1.4059,68.478,88.620,574,2232
67,0.00100,1.3998,68.616,88.530,572,2240
68,0.00100,1.3923,68.596,88.588,644,1991
69,0.00100,1.3857,68.856,88.696,566,2262
70,0.00100,1.3836,68.822,88.734,617,2078
71,0.00100,1.3775,68.728,88.698,568,2255
72,0.00100,1.3758,68.860,88.752,623,2057
73,0.00100,1.3732,68.964,88.768,567,2259
74,0.00100,1.3687,68.700,88.712,624,2051
75,0.00100,1.3629,68.696,88.692,567,2257
76,0.00100,1.3602,68.916,88.832,637,2011
77,0.00100,1.3560,69.110,88.742,567,2261
78,0.00100,1.3543,68.976,88.760,623,2058
79,0.00100,1.3513,69.020,88.660,574,2233
80,0.00100,1.3482,68.824,88.826,567,2259
81,0.00100,1.3472,68.888,88.680,624,2054
82,0.00100,1.3438,68.934,88.736,567,2260
83,0.00100,1.3418,68.904,88.850,613,2089
84,0.00100,1.3421,68.908,88.746,568,2257
85,0.00100,1.3385,69.008,88.728,613,2091
86,0.00100,1.3364,69.114,88.754,569,2252
87,0.00100,1.3351,68.820,88.758,616,2079
88,0.00100,1.3326,68.986,88.762,568,2256
89,0.00100,1.3292,68.788,88.762,582,2203
90,0.00100,1.3282,69.088,88.844,574,2233
