scheme,widths,params,param_frac,acc_full,acc_hook,acc_fold,max_logit_diff_fold_vs_hook,max_logit_diff_fold_vs_full,logit_scale
a18_ruler_act_0.999,47 64 127 128 255 255 254 504 486 469 347 285 168,9915277,0.6732141448287259,93.74,93.67,93.63,0.1919879913330078,0.5909609794616699,10.440396308898926
kstar_0.999,49 64 127 128 255 255 255 504 483 471 348 288 169,9935342,0.6745764912176355,93.74,93.71,93.71,0.19812417030334473,0.4039538502693176,10.440396308898926
kstar_0.99,32 59 119 124 246 246 246 460 379 324 118 79 43,5736761,0.38950688424557245,93.74,93.3,93.07,2.022937774658203,3.9331088066101074,10.440396308898926
a18_ruler_act_0.95,18 45 96 106 212 215 212 350 214 137 38 36 36,2843035,0.19303256744548203,93.74,88.6,87.28,4.603989601135254,9.349077224731445,10.440396308898926
