model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,out_0.9,kernel_0.9,data_0.9,ortho_0.9,out_0.95,kernel_0.95,data_0.95,ortho_0.95,out_0.99,kernel_0.99,data_0.99,ortho_0.99,out_0.999,kernel_0.999,data_0.999,ortho_0.999
timm:densenet121.tv_in1k,features.denseblock3.denselayer16.conv2,70,128,32,9,1152,32,307200,266.6666666666667,0.9198263742600363,2.4246876602124163,1.0,0.75,0.8125,1.0,0.8125,0.875,0.90625,1.0,0.90625,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock3.denselayer17.conv1,71,768,128,1,768,128,307200,400.0,0.7096714005673875,5.834180150221078,1.0,0.3828125,0.6875,1.0,0.6953125,0.5546875,0.8125,1.0,0.828125,0.8359375,0.953125,1.0,0.9609375,0.9765625,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock3.denselayer17.conv2,72,128,32,9,1152,32,307200,266.6666666666667,0.8874419109884121,2.9475429614705084,1.0,0.625,0.8125,1.0,0.75,0.78125,0.90625,1.0,0.875,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock3.denselayer18.conv1,73,800,128,1,800,128,307200,384.0,0.7632332623951127,5.291241108038707,1.0,0.453125,0.6953125,1.0,0.703125,0.609375,0.8125,1.0,0.8359375,0.859375,0.953125,1.0,0.9609375,0.984375,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock3.denselayer18.conv2,74,128,32,9,1152,32,307200,266.6666666666667,0.8469919690391482,3.2960835125545764,1.0,0.6875,0.78125,1.0,0.8125,0.8125,0.90625,1.0,0.90625,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock3.denselayer19.conv1,75,832,128,1,832,128,307200,369.2307692307692,0.7625164405728159,4.8073457520764835,1.0,0.4375,0.703125,1.0,0.6953125,0.6015625,0.8203125,1.0,0.828125,0.859375,0.9609375,1.0,0.9609375,0.984375,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock3.denselayer19.conv2,76,128,32,9,1152,32,307200,266.6666666666667,0.8493355351873492,3.17474460135957,1.0,0.65625,0.78125,1.0,0.78125,0.78125,0.90625,1.0,0.90625,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock3.denselayer20.conv1,77,864,128,1,864,128,307200,355.55555555555554,0.7795186985882201,5.126691263137482,1.0,0.453125,0.7109375,1.0,0.7109375,0.6171875,0.828125,1.0,0.8359375,0.8671875,0.9609375,1.0,0.96875,0.984375,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock3.denselayer20.conv2,78,128,32,9,1152,32,307200,266.6666666666667,0.9301929719868524,2.2142602380754193,1.0,0.71875,0.84375,1.0,0.78125,0.84375,0.90625,1.0,0.90625,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock3.denselayer21.conv1,79,896,128,1,896,128,307200,342.85714285714283,0.7822355479648988,5.158247710447968,1.0,0.4609375,0.71875,1.0,0.7109375,0.625,0.8359375,1.0,0.84375,0.875,0.9609375,1.0,0.96875,0.984375,1.0,1.0,1.0
