model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999
timm:resnet34.a1_in1k,conv1,0,3,64,49,147,64,307200,2089.795918367347,0.3931255341684022,8553394745224847.0,0.0454142339369891,61,3,5034.299567389767,True,1.0,True,0.046875,0.375,0.0625,0.046875,1.0,True,0.078125,0.484375,0.109375,0.09375,1.0,True,0.1875,0.6875,0.421875,0.328125,1.0,True,0.40625,0.859375,0.953125,0.71875
timm:resnet34.a1_in1k,layer1.0.conv1,1,64,64,9,576,64,307200,533.3333333333334,0.6978683575799609,6.540240474161713,0.6155992805587505,64,0,6.540240474161713,True,0.9375,True,0.203125,0.65625,1.0,0.3125,0.953125,True,0.3125,0.796875,1.0,0.5,1.0,True,0.625,0.9375,1.0,0.8125,1.0,True,0.921875,1.0,1.0,0.96875
timm:resnet34.a1_in1k,layer1.0.conv2,2,64,64,9,576,64,307200,533.3333333333334,0.7631370940982201,4.684338145264197,0.5837758319874358,64,0,4.684338145264197,True,0.921875,True,0.203125,0.671875,1.0,0.34375,0.953125,True,0.359375,0.796875,1.0,0.53125,1.0,True,0.703125,0.953125,1.0,0.859375,1.0,True,0.953125,1.0,1.0,0.984375
timm:resnet34.a1_in1k,layer1.1.conv1,3,64,64,9,576,64,307200,533.3333333333334,0.7542457087682571,4.95286758503357,1.0,64,0,4.95286758503357,True,0.953125,True,0.328125,0.6875,1.0,0.53125,0.984375,True,0.484375,0.8125,1.0,0.6875,1.0,True,0.78125,0.953125,1.0,0.90625,1.0,True,0.96875,1.0,1.0,0.984375
timm:resnet34.a1_in1k,layer1.1.conv2,4,64,64,9,576,64,307200,533.3333333333334,0.811163186034601,4.117607781301878,1.0,64,0,4.117607781301878,True,0.96875,True,0.359375,0.71875,1.0,0.59375,0.984375,True,0.53125,0.828125,1.0,0.75,1.0,True,0.828125,0.96875,1.0,0.9375,1.0,True,0.984375,1.0,1.0,1.0
timm:resnet34.a1_in1k,layer1.2.conv1,5,64,64,9,576,64,307200,533.3333333333334,0.8060659117813695,3.6886569539338865,1.0,64,0,3.6886569539338865,True,0.9375,True,0.4375,0.71875,1.0,0.5625,0.96875,True,0.578125,0.84375,1.0,0.703125,1.0,True,0.84375,0.96875,1.0,0.921875,1.0,True,0.984375,1.0,1.0,1.0
timm:resnet34.a1_in1k,layer1.2.conv2,6,64,64,9,576,64,307200,533.3333333333334,0.8112341875794525,4.2276098194233676,1.0,64,0,4.2276098194233676,True,0.96875,True,0.484375,0.71875,1.0,0.6875,0.984375,True,0.65625,0.828125,1.0,0.828125,1.0,True,0.890625,0.953125,1.0,0.953125,1.0,True,0.984375,1.0,1.0,1.0
timm:resnet34.a1_in1k,layer2.0.conv1,7,64,128,9,576,128,307200,533.3333333333334,0.7731761997278032,5.184468131201153,1.0,128,0,5.184468131201153,True,0.96875,True,0.421875,0.6640625,1.0,0.578125,0.984375,True,0.5546875,0.78125,1.0,0.7265625,1.0,True,0.7890625,0.9375,1.0,0.921875,1.0,True,0.9609375,0.9921875,1.0,0.9921875
timm:resnet34.a1_in1k,layer2.0.conv2,8,128,128,9,1152,128,307200,266.6666666666667,0.7336488491821087,5.674408853104856,1.0,128,0,5.674408853104856,True,0.9609375,True,0.4609375,0.65625,1.0,0.6328125,0.9765625,True,0.6015625,0.78125,1.0,0.78125,0.9921875,True,0.8515625,0.9375,1.0,0.9296875,1.0,True,0.9765625,0.9921875,1.0,0.984375
timm:resnet34.a1_in1k,layer2.0.downsample.0,9,64,128,1,64,64,307200,4800.0,0.5927141338431591,15.888519873016106,0.6557747062771017,64,0,15.888519873016106,True,1.0,True,0.375,0.515625,0.609375,0.609375,1.0,True,0.484375,0.625,0.734375,0.734375,1.0,True,0.71875,0.8125,0.921875,0.921875,1.0,True,0.921875,0.96875,0.984375,0.984375
timm:resnet34.a1_in1k,layer2.1.conv1,10,128,128,9,1152,128,307200,266.6666666666667,0.7951521594239614,5.528181354559544,1.0,128,0,5.528181354559544,True,0.9609375,True,0.40625,0.71875,1.0,0.5625,0.984375,True,0.5625,0.828125,1.0,0.71875,1.0,True,0.828125,0.953125,1.0,0.9140625,1.0,True,0.9765625,1.0,1.0,0.9921875
timm:resnet34.a1_in1k,layer2.1.conv2,11,128,128,9,1152,128,307200,266.6666666666667,0.7620440562094342,5.478112694804111,1.0,128,0,5.478112694804111,True,0.9765625,True,0.546875,0.7109375,1.0,0.6796875,0.9921875,True,0.6953125,0.828125,1.0,0.8046875,1.0,True,0.90625,0.9609375,1.0,0.9453125,1.0,True,0.9921875,1.0,1.0,0.9921875
timm:resnet34.a1_in1k,layer2.2.conv1,12,128,128,9,1152,128,307200,266.6666666666667,0.7951238411284264,4.34714437100754,1.0,128,0,4.34714437100754,True,0.96875,True,0.484375,0.71875,1.0,0.671875,0.984375,True,0.6328125,0.8359375,1.0,0.8046875,1.0,True,0.8828125,0.9609375,1.0,0.953125,1.0,True,0.984375,1.0,1.0,0.9921875
timm:resnet34.a1_in1k,layer2.2.conv2,13,128,128,9,1152,128,307200,266.6666666666667,0.774549186496947,5.80933602050556,1.0,128,0,5.80933602050556,True,0.984375,True,0.6015625,0.71875,1.0,0.734375,0.9921875,True,0.7421875,0.828125,1.0,0.84375,1.0,True,0.921875,0.9609375,1.0,0.9609375,1.0,True,0.9921875,1.0,1.0,1.0
timm:resnet34.a1_in1k,layer2.3.conv1,14,128,128,9,1152,128,307200,266.6666666666667,0.721843279689964,6.083544655400325,1.0,128,0,6.083544655400325,True,0.9921875,True,0.46875,0.6796875,1.0,0.6953125,0.9921875,True,0.625,0.8046875,1.0,0.828125,1.0,True,0.8671875,0.9453125,1.0,0.9609375,1.0,True,0.984375,1.0,1.0,1.0
timm:resnet34.a1_in1k,layer2.3.conv2,15,128,128,9,1152,128,307200,266.6666666666667,0.7839936075083016,5.887241429731392,1.0,128,0,5.887241429731392,True,0.984375,True,0.6015625,0.7109375,1.0,0.75,0.9921875,True,0.734375,0.8203125,1.0,0.8515625,1.0,True,0.9140625,0.953125,1.0,0.9609375,1.0,True,0.9921875,1.0,1.0,1.0
