model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,out_0.9,kernel_0.9,data_0.9,ortho_0.9,out_0.95,kernel_0.95,data_0.95,ortho_0.95,out_0.99,kernel_0.99,data_0.99,ortho_0.99,out_0.999,kernel_0.999,data_0.999,ortho_0.999
resnet50_random,layer2.2.conv1,18,512,128,1,512,128,307200,600.0,0.880314532530739,3.0399391791432557,0.10270580381527,0.1796875,0.765625,0.296875,0.1953125,0.3359375,0.859375,0.59375,0.3671875,0.671875,0.96875,1.0,0.7265625,0.9375,1.0,1.0,0.9609375
resnet50_random,layer2.2.conv2,19,128,128,9,1152,128,307200,266.6666666666667,0.9462101388697883,1.9860273931433226,0.12899828122240872,0.2421875,0.828125,0.515625,0.25,0.453125,0.90625,1.0,0.4765625,0.8125,0.984375,1.0,0.8359375,0.9765625,1.0,1.0,0.984375
resnet50_random,layer2.2.conv3,20,128,512,1,128,128,307200,2400.0,0.8819969181718773,2.9253887207483493,0.07795283802420633,0.15625,0.765625,0.1875,0.1875,0.28125,0.859375,0.3203125,0.3203125,0.5078125,0.96875,0.5390625,0.5390625,0.71875,1.0,0.7421875,0.7421875
resnet50_random,layer2.3.conv1,21,512,128,1,512,128,307200,600.0,0.8816264448059186,2.8702794382426617,0.08030320310626664,0.1484375,0.765625,0.25,0.1640625,0.296875,0.8671875,0.546875,0.3359375,0.6484375,0.96875,1.0,0.703125,0.9296875,1.0,1.0,0.953125
resnet50_random,layer2.3.conv2,22,128,128,9,1152,128,307200,266.6666666666667,0.9452302414407396,1.9552301146789042,0.07261924769803724,0.140625,0.828125,0.234375,0.1484375,0.34375,0.90625,0.90625,0.3671875,0.75,0.984375,1.0,0.78125,0.96875,1.0,1.0,0.9765625
resnet50_random,layer2.3.conv3,23,128,512,1,128,128,307200,2400.0,0.8808052576857002,2.9512113781867835,0.043914547822282386,0.109375,0.765625,0.1015625,0.1015625,0.234375,0.8671875,0.2421875,0.2421875,0.484375,0.96875,0.5,0.5,0.6796875,1.0,0.6953125,0.6953125
resnet50_random,layer3.0.conv1,24,512,256,1,512,256,307200,600.0,0.7760751534931172,5.658513959722186,0.026745515406143127,0.0703125,0.6640625,0.078125,0.07421875,0.16015625,0.77734375,0.19921875,0.17578125,0.4296875,0.9296875,0.6640625,0.5,0.78515625,0.9921875,1.0,0.86328125
resnet50_random,layer3.0.conv2,25,256,256,9,2304,256,307200,133.33333333333334,0.9457946256940357,1.9749488231372356,0.02976340430188937,0.0703125,0.82421875,0.07421875,0.07421875,0.23828125,0.90625,0.43359375,0.25390625,0.671875,0.98046875,1.0,0.70703125,0.94921875,1.0,1.0,0.95703125
resnet50_random,layer3.0.conv3,26,256,1024,1,256,256,307200,1200.0,0.8816614717285606,2.9713797553384818,0.026662251929602705,0.06640625,0.76171875,0.0703125,0.0703125,0.1796875,0.86328125,0.1953125,0.1953125,0.4375,0.96875,0.46484375,0.46484375,0.6484375,0.99609375,0.6640625,0.6640625
resnet50_random,layer3.0.downsample.0,27,512,1024,1,512,512,307200,600.0,0.7786398051454564,5.832975120890712,0.01217259272155518,0.037109375,0.6640625,0.03515625,0.03515625,0.091796875,0.77734375,0.09375,0.09375,0.2890625,0.927734375,0.31640625,0.31640625,0.60546875,0.990234375,0.65625,0.65625
resnet50_random,layer3.1.conv1,28,1024,256,1,1024,256,307200,300.0,0.8813834375701799,2.9452783270725327,0.02765346773044913,0.078125,0.76171875,0.08984375,0.078125,0.1953125,0.86328125,0.27734375,0.20703125,0.52734375,0.96875,0.98046875,0.56640625,0.875,1.0,1.0,0.90625
resnet50_random,layer3.1.conv2,29,256,256,9,2304,256,307200,133.33333333333334,0.9460663379473455,1.9669213420323328,0.039314427710653396,0.0859375,0.82421875,0.08203125,0.0859375,0.2734375,0.90625,0.55078125,0.2890625,0.7109375,0.98046875,1.0,0.7421875,0.95703125,1.0,1.0,0.96484375
resnet50_random,layer3.1.conv3,30,256,1024,1,256,256,307200,1200.0,0.8812209376840566,2.94918291835331,0.04285186257321718,0.09765625,0.76171875,0.10546875,0.10546875,0.22265625,0.86328125,0.25,0.25,0.48828125,0.96875,0.515625,0.515625,0.71484375,0.99609375,0.734375,0.734375
