model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999
timm:resnet50.a1_in1k,layer2.2.conv1,18,512,128,1,512,128,307200,600.0,0.6156770876417598,9.80987301260947,1.0,128,0,9.80987301260947,True,0.984375,True,0.25,0.5703125,1.0,0.5078125,0.9921875,True,0.359375,0.703125,1.0,0.6796875,1.0,True,0.640625,0.8984375,1.0,0.90625,1.0,True,0.9140625,0.9921875,1.0,0.9921875
timm:resnet50.a1_in1k,layer2.2.conv2,19,128,128,9,1152,128,307200,266.6666666666667,0.7639442561480786,4.479730569298606,1.0,128,0,4.479730569298606,True,0.9609375,True,0.3828125,0.6796875,1.0,0.59375,0.984375,True,0.53125,0.8046875,1.0,0.7578125,1.0,True,0.8046875,0.953125,1.0,0.9375,1.0,True,0.96875,1.0,1.0,0.9921875
timm:resnet50.a1_in1k,layer2.2.conv3,20,128,512,1,128,128,307200,2400.0,0.7095807143094573,9.121525336038486,0.6459516016630695,128,0,9.121525336038486,True,0.984375,True,0.4375,0.6171875,0.6484375,0.6484375,0.9921875,True,0.578125,0.7421875,0.796875,0.796875,1.0,True,0.8203125,0.90625,0.9453125,0.9453125,1.0,True,0.96875,0.984375,0.9921875,0.9921875
timm:resnet50.a1_in1k,layer2.3.conv1,21,512,128,1,512,128,307200,600.0,0.7573733561486975,6.944690814368662,1.0,128,0,6.944690814368662,True,0.984375,True,0.4140625,0.6796875,1.0,0.609375,0.9921875,True,0.5546875,0.796875,1.0,0.7578125,1.0,True,0.8203125,0.9453125,1.0,0.9296875,1.0,True,0.9765625,0.9921875,1.0,0.9921875
timm:resnet50.a1_in1k,layer2.3.conv2,22,128,128,9,1152,128,307200,266.6666666666667,0.8148817475198611,4.6847598216821815,1.0,128,0,4.6847598216821815,True,0.953125,True,0.453125,0.71875,1.0,0.6015625,0.9765625,True,0.6015625,0.828125,1.0,0.7421875,1.0,True,0.84375,0.953125,1.0,0.921875,1.0,True,0.9765625,1.0,1.0,0.9921875
timm:resnet50.a1_in1k,layer2.3.conv3,23,128,512,1,128,128,307200,2400.0,0.7141342990484759,10.068296509527523,0.6223601038322327,128,0,10.068296509527523,True,0.9375,True,0.453125,0.65625,0.6171875,0.6171875,0.953125,True,0.5859375,0.7734375,0.7421875,0.7421875,0.9765625,True,0.8046875,0.921875,0.875,0.875,0.9765625,True,0.9375,0.9921875,0.9375,0.9375
timm:resnet50.a1_in1k,layer3.0.conv1,24,512,256,1,512,256,307200,600.0,0.5599598102126571,17.19737900255802,0.8889281076640791,256,0,17.19737900255802,True,0.99609375,True,0.26171875,0.5234375,1.0,0.578125,0.99609375,True,0.375,0.65234375,1.0,0.734375,1.0,True,0.64453125,0.86328125,1.0,0.91796875,1.0,True,0.90234375,0.9765625,1.0,0.98828125
timm:resnet50.a1_in1k,layer3.0.conv2,25,256,256,9,2304,256,307200,133.33333333333334,0.7518131374597372,5.762804503899301,1.0,256,0,5.762804503899301,True,0.98046875,True,0.40234375,0.6484375,1.0,0.62109375,0.98828125,True,0.53515625,0.76953125,1.0,0.7734375,1.0,True,0.7890625,0.93359375,1.0,0.9453125,1.0,True,0.96484375,0.9921875,1.0,0.9921875
timm:resnet50.a1_in1k,layer3.0.conv3,26,256,1024,1,256,256,307200,1200.0,0.7673023009371341,7.442793007196699,0.5794756296314593,256,0,7.442793007196699,True,0.984375,True,0.39453125,0.66796875,0.58984375,0.58984375,0.9921875,True,0.51953125,0.78515625,0.75,0.75,0.99609375,True,0.78125,0.9375,0.93359375,0.93359375,1.0,True,0.95703125,0.9921875,0.9921875,0.9921875
timm:resnet50.a1_in1k,layer3.0.downsample.0,27,512,1024,1,512,512,307200,600.0,0.5492450061414919,15.651822887813752,0.4419544645245801,512,0,15.651822887813752,True,0.96875,True,0.201171875,0.509765625,0.525390625,0.525390625,0.9765625,True,0.306640625,0.64453125,0.685546875,0.685546875,0.986328125,True,0.587890625,0.859375,0.87890625,0.87890625,0.998046875,True,0.86328125,0.9765625,0.958984375,0.958984375
