model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999
timm:resnet50.tv2_in1k,layer3.5.conv2,41,256,256,9,2304,256,307200,133.33333333333334,0.7142218153459475,6.815848200535033,1.0,256,0,6.815848200535033,True,0.9921875,True,0.3984375,0.6640625,1.0,0.6796875,0.99609375,True,0.55078125,0.79296875,1.0,0.81640625,1.0,True,0.828125,0.9453125,1.0,0.95703125,1.0,True,0.9765625,0.99609375,1.0,0.99609375
timm:resnet50.tv2_in1k,layer3.5.conv3,42,256,1024,1,256,256,307200,1200.0,0.6819495083579431,14.89188850663165,0.6463483102672449,256,0,14.89188850663165,True,1.0,True,0.39453125,0.640625,0.68359375,0.68359375,1.0,True,0.5390625,0.765625,0.8203125,0.8203125,1.0,True,0.80859375,0.92578125,0.95703125,0.95703125,1.0,True,0.96875,0.98828125,0.99609375,0.99609375
timm:resnet50.tv2_in1k,layer4.0.conv1,43,1024,512,1,1024,512,307200,300.0,0.5591506948330016,17.389003544228075,1.0,512,0,17.389003544228075,True,1.0,True,0.28515625,0.544921875,1.0,0.724609375,1.0,True,0.431640625,0.6796875,1.0,0.84765625,1.0,True,0.7265625,0.880859375,1.0,0.966796875,1.0,True,0.939453125,0.982421875,1.0,0.99609375
timm:resnet50.tv2_in1k,layer4.0.conv2,44,512,512,9,4608,512,307200,66.66666666666667,0.691953808571882,9.309354039803587,1.0,512,0,9.309354039803587,True,0.99609375,True,0.37109375,0.58984375,1.0,0.70703125,0.998046875,True,0.5,0.720703125,1.0,0.83984375,1.0,True,0.7734375,0.91796875,1.0,0.96484375,1.0,True,0.962890625,0.990234375,1.0,0.99609375
timm:resnet50.tv2_in1k,layer4.0.conv3,45,512,2048,1,512,512,307200,600.0,0.795936581809801,9.099878132856986,0.639538979228102,512,0,9.099878132856986,True,0.99609375,True,0.458984375,0.712890625,0.69140625,0.69140625,0.998046875,True,0.611328125,0.82421875,0.830078125,0.830078125,1.0,True,0.861328125,0.953125,0.962890625,0.962890625,1.0,True,0.98046875,0.99609375,0.99609375,0.99609375
timm:resnet50.tv2_in1k,layer4.0.downsample.0,46,1024,2048,1,1024,1024,307200,300.0,0.5998728958779783,19.29952564278627,0.5879294849377498,1024,0,19.29952564278627,True,0.994140625,True,0.3447265625,0.560546875,0.69140625,0.69140625,0.99609375,True,0.4892578125,0.689453125,0.8203125,0.8203125,0.9990234375,True,0.759765625,0.8818359375,0.94921875,0.94921875,1.0,True,0.943359375,0.9794921875,0.98828125,0.98828125
timm:resnet50.tv2_in1k,layer4.1.conv1,47,2048,512,1,2048,512,307200,150.0,0.768429937493078,14.678772657688569,1.0,512,0,14.678772657688569,True,0.998046875,True,0.412109375,0.685546875,1.0,0.6953125,1.0,True,0.57421875,0.80078125,1.0,0.83203125,1.0,True,0.8359375,0.9375,1.0,0.9609375,1.0,True,0.966796875,0.986328125,1.0,0.99609375
timm:resnet50.tv2_in1k,layer4.1.conv2,48,512,512,9,4608,512,307200,66.66666666666667,0.7120651974208146,11.488448912595745,1.0,512,0,11.488448912595745,True,0.994140625,True,0.37109375,0.66796875,1.0,0.64453125,0.998046875,True,0.521484375,0.794921875,1.0,0.794921875,1.0,True,0.806640625,0.9453125,1.0,0.947265625,1.0,True,0.970703125,0.994140625,1.0,0.994140625
timm:resnet50.tv2_in1k,layer4.1.conv3,49,512,2048,1,512,512,307200,600.0,0.7132073262574131,27.089426888714772,0.6352106593008402,512,0,27.089426888714772,True,0.998046875,True,0.498046875,0.671875,0.724609375,0.724609375,0.998046875,True,0.646484375,0.78515625,0.84375,0.84375,1.0,True,0.859375,0.919921875,0.95703125,0.95703125,1.0,True,0.9609375,0.98046875,0.9921875,0.9921875
timm:resnet50.tv2_in1k,layer4.2.conv1,50,2048,512,1,2048,512,307200,150.0,0.7118596694974254,26.762955093241953,1.0,512,0,26.762955093241953,True,1.0,True,0.2734375,0.693359375,1.0,0.71484375,1.0,True,0.4765625,0.798828125,1.0,0.84375,1.0,True,0.791015625,0.927734375,1.0,0.96484375,1.0,True,0.953125,0.986328125,1.0,0.99609375
timm:resnet50.tv2_in1k,layer4.2.conv2,51,512,512,9,4608,512,307200,66.66666666666667,0.5822756364619217,19.51409347194219,1.0,512,0,19.51409347194219,True,0.998046875,True,0.345703125,0.626953125,1.0,0.62109375,1.0,True,0.484375,0.75390625,1.0,0.76953125,1.0,True,0.755859375,0.92578125,1.0,0.939453125,1.0,True,0.953125,0.9921875,1.0,0.9921875
timm:resnet50.tv2_in1k,layer4.2.conv3,52,512,2048,1,512,512,307200,600.0,0.35542789565518146,97.60465544784935,0.4717185844817542,512,0,97.60465544784935,True,1.0,True,0.3046875,0.568359375,0.62109375,0.62109375,1.0,True,0.466796875,0.7109375,0.76953125,0.76953125,1.0,True,0.755859375,0.896484375,0.93359375,0.93359375,1.0,True,0.939453125,0.9765625,0.98828125,0.98828125
