scheme,widths,params,param_frac,acc_full,acc_hook,acc_fold,max_logit_diff_fold_vs_hook,max_logit_diff_fold_vs_full,logit_scale
a18_ruler_act_0.999,48 64 127 128 255 255 255 510 510 510 509 510 505,14618588,0.98945150935034,73.35,73.28,73.41,0.29743194580078125,0.658419132232666,20.002193450927734
kstar_0.999,47 64 127 128 255 255 255 509 510 510 510 510 504,14615584,0.9892481851760704,73.35,73.38,73.38,0.30910301208496094,0.6905298233032227,20.002193450927734
kstar_0.99,29 58 118 122 242 244 246 489 490 493 488 493 451,13346399,0.9033440599695312,73.35,72.23,72.23,0.7826857566833496,3.2473621368408203,20.002193450927734
a18_ruler_act_0.95,18 44 89 101 201 205 212 418 418 428 411 426 313,9448889,0.6395431270608232,73.35,61.81,63.31,3.438168525695801,10.97164535522461,20.002193450927734
