layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok,ok
blocks.5.attn.qkv,linear,26,2304,1,False,768.0,0,197.0,1.0,204800,1568.4261791166825,35.61497329805319,0.015457887716168918,82.20933148320312,0.03568113345625135,11.363942756789408,0.0049322668215231805,11.84787705385072,10,2304,0.733915165066569,767,109,184,396,629,0.047309027777777776,0.0798611111111111,0.171875,0.2730034722222222,88.88888888888889,True,0.14192708333333334,0.23958333333333334,0.515625,0.8190104166666666,0.3333333333333333,6400.0,72.94405976499574,18.5361509662691,0.008045204412443186,47.11206544707765,0.02044794507251634,6.628079434447222,0.002876770587867718,12.528183930336809,10.0,2304.0,0.743418981546218,766.0,67.0,123.0,306.0,562.0,0.029079861111111112,0.053385416666666664,0.1328125,0.2439236111111111,2.7777777777777777,False,True
blocks.5.attn.proj,linear,27,768,1,False,768.0,0,197.0,1.0,204800,25.308493185795665,46.62785673874754,0.06071335512857753,115.03283094676783,0.14978233196193727,12.190606145957863,0.015873185085882636,2.8554089678148977,10,768,0.7082447200018366,768,152,223,385,562,0.19791666666666666,0.2903645833333333,0.5013020833333334,0.7317708333333334,266.6666666666667,True,0.19791666666666666,0.2903645833333333,0.5013020833333334,0.7317708333333334,1.0,6400.0,5.658878710540647,30.33340344775796,0.03949661907260151,72.24481652101176,0.09406877151173405,9.379232621069097,0.012212542475350386,3.231253135738453,10.0,768.0,0.742206342319867,768.0,92.0,151.0,304.0,491.0,0.11979166666666667,0.19661458333333334,0.3958333333333333,0.6393229166666666,8.333333333333334,False,True
blocks.5.mlp.fc1,linear,28,3072,1,False,768.0,0,197.0,1.0,204800,2095.0559077371113,42.88867153558642,0.013961156098823703,115.1373519382114,0.03747960675071985,12.141159946124306,0.003952200503295673,10.421762711056166,10,3072,0.745956395967484,767,173,273,499,691,0.056315104166666664,0.0888671875,0.16243489583333334,0.22493489583333334,66.66666666666667,True,0.22526041666666666,0.35546875,0.6497395833333334,0.8997395833333334,0.25,6400.0,388.1961405074874,14.026399355409888,0.0045658852068391565,34.49531908728453,0.0112289450153921,4.980982335785907,0.0016214135207636416,11.116341973135404,10.0,3072.0,0.7777199517812062,767.0,45.0,77.0,203.0,465.0,0.0146484375,0.025065104166666668,0.06608072916666667,0.1513671875,2.0833333333333335,False,True
blocks.5.mlp.act,act,29,3072,1,False,,0,197.0,1.0,204800,80.22918759229056,117.6860875229347,0.038309273282205306,728.7112221846785,0.23721068430490835,15.872101254000913,0.005166699626953423,1.2470132292603968,10,3072,0.798904951013566,3072,1414,1904,2551,2901,0.4602864583333333,0.6197916666666666,0.8304036458333334,0.9443359375,66.66666666666667,True,,,,,,6400.0,8.376329987575463,38.35776897877706,0.01248625292277899,167.35573376118646,0.05447777791705288,8.549737562735164,0.0027831176962028526,1.9431252200694114,10.0,3072.0,0.8825971467401901,3072.0,375.0,717.0,1633.0,2545.0,0.1220703125,0.2333984375,0.5315755208333334,0.8284505208333334,2.0833333333333335,False,True
blocks.5.mlp.fc2,linear,30,768,1,False,768.0,0,197.0,1.0,204800,40.957777654808865,6.688614912529189,0.008709134000689048,64.67270564118965,0.08420925213696569,2.6190447297545907,0.0034102144918679565,1.3600152713275093,10,768,0.873212319223799,768,264,388,612,739,0.34375,0.5052083333333334,0.796875,0.9622395833333334,266.6666666666667,True,0.34375,0.5052083333333334,0.796875,0.9622395833333334,1.0,6400.0,3.3672730270850737,31.997317211545006,0.04166317345253256,97.06804353920194,0.1263906816916692,8.18454194807855,0.010656955661560613,1.8794110957684063,10.0,768.0,0.9289764816079723,768.0,154.0,252.0,489.0,699.0,0.20052083333333334,0.328125,0.63671875,0.91015625,8.333333333333334,False,True
blocks.6.attn.qkv,linear,31,2304,1,False,768.0,0,197.0,1.0,204800,1581.8377916030104,36.07115369025057,0.015655882678060142,93.18805273432476,0.04044620344371734,10.991858611692079,0.004770771966880243,11.94282354714258,10,2304,0.7248497107981033,767,136,227,449,660,0.059027777777777776,0.09852430555555555,0.1948784722222222,0.2864583333333333,88.88888888888889,True,0.17708333333333334,0.2955729166666667,0.5846354166666666,0.859375,0.3333333333333333,6400.0,81.11114911214274,24.63433782448966,0.010691986902990303,69.59622765243856,0.030206696029704234,7.4653908771143564,0.0032401870126364395,12.75462203673923,10.0,2304.0,0.7348290816621139,767.0,104.0,175.0,374.0,614.0,0.04513888888888889,0.0759548611111111,0.1623263888888889,0.2664930555555556,2.7777777777777777,False,True
blocks.6.attn.proj,linear,32,768,1,False,768.0,0,197.0,1.0,204800,27.808288385344003,46.39354707543154,0.06040826442113482,132.66130416326857,0.17273607312925596,9.10966960337105,0.01186154896272272,2.7708416284359547,10,768,0.6790911820499963,768,175,252,413,578,0.22786458333333334,0.328125,0.5377604166666666,0.7526041666666666,266.6666666666667,True,0.22786458333333334,0.328125,0.5377604166666666,0.7526041666666666,1.0,6400.0,7.119232234787408,35.39859827090189,0.046091924831903504,84.50074162759589,0.1100270073275988,10.48339272468546,0.01365025094360086,3.091158019792926,10.0,768.0,0.7236630677718721,767.0,111.0,177.0,335.0,518.0,0.14453125,0.23046875,0.4361979166666667,0.6744791666666666,8.333333333333334,False,True
blocks.6.mlp.fc1,linear,33,3072,1,False,768.0,0,197.0,1.0,204800,2430.121112701641,52.756392102127535,0.01717330472074464,138.72758003433628,0.04515871745909384,14.600514617666272,0.004752771685438239,10.493461013129552,10,3072,0.7384917505644295,767,206,316,544,712,0.06705729166666667,0.10286458333333333,0.17708333333333334,0.23177083333333334,66.66666666666667,True,0.2682291666666667,0.4114583333333333,0.7083333333333334,0.9270833333333334,0.25,6400.0,467.0306803338443,15.528256892601833,0.005054771123893826,38.55529363483411,0.01255055131342256,5.769219840273202,0.0018780012500889329,11.257939758530846,10.0,3072.0,0.7690296614142701,767.0,51.0,93.0,246.0,526.0,0.0166015625,0.0302734375,0.080078125,0.17122395833333334,2.0833333333333335,False,True
blocks.6.mlp.act,act,34,3072,1,False,,0,197.0,1.0,204800,95.31085847526222,187.7936611900497,0.06113074908530264,1001.5987834867007,0.3260412706662437,18.856894805754767,0.006138312111248296,1.0575180719626802,10,3072,0.8437086343816883,3072,1672,2145,2719,2974,0.5442708333333334,0.6982421875,0.8850911458333334,0.9680989583333334,66.66666666666667,True,,,,,,6400.0,9.762839628383503,50.45169062081724,0.016423076373963945,222.43938052647343,0.07240865251512807,10.79270959328184,0.0035132518207297656,1.7658565812092386,10.0,3072.0,0.9022785451437781,3072.0,504.0,911.0,1874.0,2707.0,0.1640625,0.2965494791666667,0.6100260416666666,0.8811848958333334,2.0833333333333335,False,True
blocks.6.mlp.fc2,linear,35,768,1,False,768.0,0,197.0,1.0,204800,56.08991450280805,5.822853138888467,0.007581840024594358,63.33756321713614,0.08247078543897936,2.4259362382219205,0.0031587711435181257,1.2289884679536156,10,768,0.8755121947630669,768,295,425,640,747,0.3841145833333333,0.5533854166666666,0.8333333333333334,0.97265625,266.6666666666667,True,0.3841145833333333,0.5533854166666666,0.8333333333333334,0.97265625,1.0,6400.0,4.220290935770127,32.51068578368032,0.042331622114167085,110.40904287556836,0.14376177457756298,8.031623605311129,0.010457843236082199,1.699220546997742,10.0,768.0,0.9280479058048574,768.0,190.0,303.0,544.0,721.0,0.24739583333333334,0.39453125,0.7083333333333334,0.9388020833333334,8.333333333333334,False,True
