layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok,ok
blocks.7.mlp.act,act,39,3072,1,False,,0,197.0,1.0,204800,243.72792450349334,6.523277445933843,0.002123462710264923,33.83852329467692,0.011015144301652643,2.719602711871143,0.0008852873411038877,1.5983783777633584,10,3072,0.9944231538725612,3072,117,309,1340,2721,0.0380859375,0.1005859375,0.4361979166666667,0.8857421875,66.66666666666667,True,,,,,,6400.0,84.2490356181388,2.9216789549338236,0.0009510673681425207,5.965018030597735,0.0019417376401685334,1.8371931819636473,0.0005980446555871248,2.332157088511994,10.0,3072.0,0.976035600198115,3072.0,7.0,14.0,74.0,549.0,0.0022786458333333335,0.004557291666666667,0.024088541666666668,0.1787109375,2.0833333333333335,False,True
blocks.7.mlp.fc2,linear,40,768,1,False,768.0,0,197.0,1.0,204800,74.80454201642846,6.316587087315377,0.008224722769941897,28.778064304484737,0.0374714378964645,2.6669561678535345,0.003472599176892623,1.585696784186951,10,768,0.9735931910347774,768,89,192,480,712,0.11588541666666667,0.25,0.625,0.9270833333333334,266.6666666666667,True,0.11588541666666667,0.25,0.625,0.9270833333333334,1.0,6400.0,25.847639492572778,2.8671157047044047,0.00373322357383386,5.814767018162089,0.007571311221565221,1.811751143472191,0.0023590509680627486,2.2098529977187207,10.0,768.0,0.9848211264166759,768.0,7.0,13.0,65.0,328.0,0.009114583333333334,0.016927083333333332,0.08463541666666667,0.4270833333333333,8.333333333333334,False,True
blocks.8.attn.qkv,linear,41,2304,1,False,768.0,0,197.0,1.0,204800,586.2592189911203,4.996909490276006,0.002168797521821183,19.475388493223594,0.00845285958907274,2.3625108153838776,0.0010253953191770302,6.249579856077961,10,2304,0.6988203521021263,1514,55,128,370,654,0.023871527777777776,0.05555555555555555,0.1605902777777778,0.2838541666666667,88.88888888888889,True,0.07161458333333333,0.16666666666666666,0.4817708333333333,0.8515625,0.3333333333333333,6400.0,209.19595674080034,2.516530624968949,0.0010922441948649953,4.601795748279156,0.001997307182412828,1.6919620043147878,0.0007343585088171822,5.883588128928006,10.0,2304.0,0.7767192271217871,1522.0,5.0,9.0,44.0,240.0,0.002170138888888889,0.00390625,0.019097222222222224,0.10416666666666667,2.7777777777777777,False,True
blocks.8.attn.proj,linear,42,768,1,False,768.0,0,197.0,1.0,204800,21.432912157667115,2.654669221462702,0.00345660054877956,5.1721415949196325,0.006734559368384938,1.741681540461718,0.0022678145058095288,3.223289767371187,10,768,0.8224649599457097,766,6,12,58,238,0.0078125,0.015625,0.07552083333333333,0.3098958333333333,266.6666666666667,True,0.0078125,0.015625,0.07552083333333333,0.3098958333333333,1.0,6400.0,21.015878560076438,2.5551604710600104,0.0033270318633593886,4.700488641745934,0.006120427918940018,1.7083545037218106,0.0022244199267211075,3.4950918460130107,10.0,768.0,0.8231027484503509,767.0,5.0,10.0,44.0,192.0,0.006510416666666667,0.013020833333333334,0.057291666666666664,0.25,8.333333333333334,False,True
blocks.8.mlp.fc1,linear,43,3072,1,False,768.0,0,197.0,1.0,204800,773.3799449213487,5.081093403883146,0.0016540017590765449,19.873852084753562,0.006469352892172383,2.385673758040605,0.0007765865097788428,6.388256050488464,10,3072,0.7615452264932417,1893,56,131,382,666,0.018229166666666668,0.042643229166666664,0.12434895833333333,0.216796875,66.66666666666667,True,0.07291666666666667,0.17057291666666666,0.4973958333333333,0.8671875,0.25,6400.0,286.8446905009621,2.5097913078296603,0.0008169893580174675,4.619782155912816,0.001503835337211203,1.6866178842358328,0.0005490292591913518,5.941063057080849,10.0,3072.0,0.8278229888255606,1892.0,5.0,10.0,45.0,242.0,0.0016276041666666667,0.0032552083333333335,0.0146484375,0.07877604166666667,2.0833333333333335,False,True
blocks.8.mlp.act,act,44,3072,1,False,,0,197.0,1.0,204800,242.22449505992967,6.52939342022102,0.00212545358731153,34.25449059172223,0.011150550322826247,2.714778942188794,0.0008837171035770814,1.6025293757589913,10,3072,0.9945968140521687,3072,118,310,1338,2721,0.038411458333333336,0.10091145833333333,0.435546875,0.8857421875,66.66666666666667,True,,,,,,6400.0,84.85837676078957,2.8798297309792686,0.0009374445738864807,6.001991300585535,0.0019537732098260205,1.8095242252654236,0.0005890378337452551,2.3421504264391837,10.0,3072.0,0.9764696666470559,3072.0,7.0,14.0,77.0,557.0,0.0022786458333333335,0.004557291666666667,0.025065104166666668,0.18131510416666666,2.0833333333333335,False,True
blocks.8.mlp.fc2,linear,45,768,1,False,768.0,0,197.0,1.0,204800,75.10912352497967,6.269430344331423,0.008163320760848207,28.772573154464318,0.03746428796154208,2.651312207102068,0.0034522294363308176,1.5920719051616348,10,768,0.9742034525776878,768,89,191,479,712,0.11588541666666667,0.24869791666666666,0.6236979166666666,0.9270833333333334,266.6666666666667,True,0.11588541666666667,0.24869791666666666,0.6236979166666666,0.9270833333333334,1.0,6400.0,25.548828490597312,2.9617545260661027,0.003856451205815238,6.07649923419632,0.007912108377859791,1.8500953301757377,0.0024089782944996586,2.2199577589809225,10.0,768.0,0.9847669613856371,768.0,7.0,14.0,69.0,335.0,0.009114583333333334,0.018229166666666668,0.08984375,0.4361979166666667,8.333333333333334,False,True
blocks.9.attn.qkv,linear,46,2304,1,False,768.0,0,197.0,1.0,204800,583.7751146505822,5.073868791298985,0.0022021999962235175,19.795635999771527,0.008591855902678615,2.3816702525964364,0.00103371104713387,6.251632051161975,10,2304,0.69960181922984,1518,55,128,370,653,0.023871527777777776,0.05555555555555555,0.1605902777777778,0.2834201388888889,88.88888888888889,True,0.07161458333333333,0.16666666666666666,0.4817708333333333,0.8502604166666666,0.3333333333333333,6400.0,217.74711857604726,2.5267461646165645,0.0010966780228370506,4.642706980943692,0.002015063793812366,1.6954403306444317,0.0007358681990644235,5.887267926353521,10.0,2304.0,0.777449816762402,1520.0,5.0,10.0,45.0,239.0,0.002170138888888889,0.004340277777777778,0.01953125,0.1037326388888889,2.7777777777777777,False,True
blocks.9.attn.proj,linear,47,768,1,False,768.0,0,197.0,1.0,204800,22.879962006149093,2.6751543005031007,0.003483273828780079,5.166770583402653,0.006727565863805538,1.7495964224184888,0.0022781203416907406,3.225355199897764,10,768,0.8279357067824168,765,6,12,57,233,0.0078125,0.015625,0.07421875,0.3033854166666667,266.6666666666667,True,0.0078125,0.015625,0.07421875,0.3033854166666667,1.0,6400.0,22.506597331003835,2.591699339490101,0.0033746085149610693,4.748895981769986,0.006183458309596337,1.7219659190636143,0.0022421431237807476,3.4857848437851806,10.0,768.0,0.8315745660807926,766.0,5.0,10.0,43.0,190.0,0.006510416666666667,0.013020833333333334,0.055989583333333336,0.24739583333333334,8.333333333333334,False,True
blocks.9.mlp.fc1,linear,48,3072,1,False,768.0,0,197.0,1.0,204800,766.1175963168987,5.195137879816325,0.0016911256119193764,20.000664078229576,0.0065106328379653565,2.428955261592339,0.0007906755408829229,6.381019373727761,10,3072,0.7615814385551362,1893,55,130,382,666,0.017903645833333332,0.042317708333333336,0.12434895833333333,0.216796875,66.66666666666667,True,0.07161458333333333,0.16927083333333334,0.4973958333333333,0.8671875,0.25,6400.0,297.2647223685033,2.524485588151677,0.000821772652393124,4.640418599308542,0.001510552929462416,1.6937868035001793,0.0005513628917643813,5.924363116235859,10.0,3072.0,0.8287294934319136,1891.0,5.0,10.0,45.0,240.0,0.0016276041666666667,0.0032552083333333335,0.0146484375,0.078125,2.0833333333333335,False,True
