model,scheme,acc_full,acc_fold,params_full,params_fold,param_frac,internal_width_frac,widths
resnet50,tau_0.999,76.03125,75.78125,25557032,25367492,0.9925836458631033,0.9895391949152542,56 56 59 64 64 64 126 127 107 124 125 128 128 128 255 254 253 255 254 255 255 255 255 255 255 255 510 510 510 511 510 510
resnet50,tau_0.99,76.03125,75.125,25557032,23991116,0.9387285659774578,0.9349841101694916,45 42 52 58 58 62 116 119 76 105 114 121 120 123 240 237 229 242 237 244 242 246 244 246 244 244 492 492 491 496 492 492
resnet50,tau_0.95,76.03125,67.15625,25557032,19651024,0.7689086901796734,0.7713188559322034,28 24 37 44 44 53 88 95 40 68 85 99 96 107 191 185 167 200 183 206 200 212 205 212 206 203 421 419 421 439 425 422
resnet50,eps_0.001,76.03125,75.75,25557032,25440354,0.9954346028912904,0.9927171610169492,57 57 59 64 64 64 127 128 112 125 127 128 128 128 255 255 254 255 255 256 256 256 255 256 255 255 511 511 511 511 511 511
resnet50,eps_0.01,76.03125,75.84375,25557032,24497213,0.9585312175529616,0.9557733050847458,49 46 55 59 60 63 121 123 87 113 120 124 123 125 247 245 238 247 244 248 248 249 248 249 248 247 498 499 498 500 498 499
