model,scheme,site,C,m,subspace_resid,cssp_resid
timm:resnet50.tv2_in1k,tau_0.99,layer3.1.bn2,256,231,0.009792185640795516,0.01216358479114466
timm:resnet50.tv2_in1k,tau_0.99,layer3.2.bn1,256,234,0.009484892507895975,0.012114183183431203
timm:resnet50.tv2_in1k,tau_0.99,layer3.2.bn2,256,235,0.009862725118021866,0.011570012870321809
timm:resnet50.tv2_in1k,tau_0.99,layer3.3.bn1,256,242,0.009204741105573514,0.011603299867391661
timm:resnet50.tv2_in1k,tau_0.99,layer3.3.bn2,256,243,0.008996874122063016,0.011657437507707012
timm:resnet50.tv2_in1k,tau_0.99,layer3.4.bn1,256,239,0.009262829797883296,0.010805770945881539
timm:resnet50.tv2_in1k,tau_0.99,layer3.4.bn2,256,240,0.0099880822825788,0.012623029330194432
timm:resnet50.tv2_in1k,tau_0.99,layer3.5.bn1,256,245,0.009653746732713027,0.013054450455582157
timm:resnet50.tv2_in1k,tau_0.99,layer3.5.bn2,256,245,0.009709123735955406,0.01345684688261444
timm:resnet50.tv2_in1k,tau_0.99,layer4.0.bn1,512,494,0.009541859419858233,0.013421516807320366
timm:resnet50.tv2_in1k,tau_0.99,layer4.0.bn2,512,493,0.009486265553420551,0.014142003140164311
timm:resnet50.tv2_in1k,tau_0.99,layer4.1.bn1,512,482,0.00988939002629992,0.014603059291543588
timm:resnet50.tv2_in1k,tau_0.99,layer4.1.bn2,512,490,0.009506404299892217,0.012393134656796099
timm:resnet50.tv2_in1k,tau_0.99,layer4.2.bn1,512,475,0.009649530355501482,0.011996674791364416
timm:resnet50.tv2_in1k,tau_0.99,layer4.2.bn2,512,478,0.00983034373665281,0.01169550592939217
timm:resnet50.tv2_in1k,tau_0.95,layer1.0.bn1,64,31,0.049960887898016254,0.07389510485674422
timm:resnet50.tv2_in1k,tau_0.95,layer1.0.bn2,64,20,0.04901436197845586,0.0711618248691776
timm:resnet50.tv2_in1k,tau_0.95,layer1.1.bn1,64,44,0.04781489460284211,0.0741381234894502
