model,scheme,site,C,m,subspace_resid,cssp_resid
timm:resnet50.a1_in1k,tau_0.99,layer3.2.bn1,256,231,0.009660222307146837,0.011488222067417144
timm:resnet50.a1_in1k,tau_0.99,layer3.2.bn2,256,228,0.00928312952808909,0.011336365000567925
timm:resnet50.a1_in1k,tau_0.99,layer3.3.bn1,256,233,0.009321265962109493,0.010691054369566208
timm:resnet50.a1_in1k,tau_0.99,layer3.3.bn2,256,234,0.009097215368395958,0.010124895279972637
timm:resnet50.a1_in1k,tau_0.99,layer3.4.bn1,256,241,0.009606692300136607,0.011383573908576673
timm:resnet50.a1_in1k,tau_0.99,layer3.4.bn2,256,242,0.00975311199280603,0.0119206875240486
timm:resnet50.a1_in1k,tau_0.99,layer3.5.bn1,256,244,0.009748061533390012,0.01177626857473549
timm:resnet50.a1_in1k,tau_0.99,layer3.5.bn2,256,244,0.009517941316633884,0.012283349333265652
timm:resnet50.a1_in1k,tau_0.99,layer4.0.bn1,512,490,0.009538142582744333,0.011660019890831208
timm:resnet50.a1_in1k,tau_0.99,layer4.0.bn2,512,492,0.009949697911029141,0.013870104164555362
timm:resnet50.a1_in1k,tau_0.99,layer4.1.bn1,512,484,0.009668326140234355,0.013366455308485937
timm:resnet50.a1_in1k,tau_0.99,layer4.1.bn2,512,483,0.009977887141607552,0.012942804971705003
timm:resnet50.a1_in1k,tau_0.99,layer4.2.bn1,512,469,0.009933510866057397,0.012340276056145561
timm:resnet50.a1_in1k,tau_0.99,layer4.2.bn2,512,462,0.009836346968362657,0.012212450027264432
timm:resnet50.a1_in1k,tau_0.95,layer1.0.bn1,64,4,0.04912906009462033,0.05318042580518766
timm:resnet50.a1_in1k,tau_0.95,layer1.0.bn2,64,1,0.044588712945870274,0.04485303043985133
timm:resnet50.a1_in1k,tau_0.95,layer1.1.bn1,64,34,0.047054354643994906,0.05773253970057326
timm:resnet50.a1_in1k,tau_0.95,layer1.1.bn2,64,39,0.04949886057476224,0.06436258327621988
timm:resnet50.a1_in1k,tau_0.95,layer1.2.bn1,64,44,0.048295799231316106,0.06867978122322714
timm:resnet50.a1_in1k,tau_0.95,layer1.2.bn2,64,47,0.04969769448888829,0.07295692919373717
timm:resnet50.a1_in1k,tau_0.95,layer2.0.bn1,128,88,0.04869429015298675,0.07685008765614953
timm:resnet50.a1_in1k,tau_0.95,layer2.0.bn2,128,94,0.049297379038182335,0.07918170771005945
timm:resnet50.a1_in1k,tau_0.95,layer2.1.bn1,128,61,0.04938314709221674,0.06721085275338051
timm:resnet50.a1_in1k,tau_0.95,layer2.1.bn2,128,86,0.04760319050918938,0.06755401428887928
timm:resnet50.a1_in1k,tau_0.95,layer2.2.bn1,128,87,0.04884953723826528,0.07639944779985076
timm:resnet50.a1_in1k,tau_0.95,layer2.2.bn2,128,102,0.048368490791869924,0.07042416824144486
timm:resnet50.a1_in1k,tau_0.95,layer2.3.bn1,128,86,0.0480167232959813,0.05975274149772632
timm:resnet50.a1_in1k,tau_0.95,layer2.3.bn2,128,95,0.04722918418712231,0.06607215881639861
timm:resnet50.a1_in1k,tau_0.95,layer3.0.bn1,256,192,0.04948922016340508,0.0751149466834554
timm:resnet50.a1_in1k,tau_0.95,layer3.0.bn2,256,192,0.04920182932631875,0.07362721372994288
timm:resnet50.a1_in1k,tau_0.95,layer3.1.bn1,256,176,0.049987964807928574,0.07363024127317698
timm:resnet50.a1_in1k,tau_0.95,layer3.1.bn2,256,188,0.04949120362258884,0.06848725780054012
timm:resnet50.a1_in1k,tau_0.95,layer3.2.bn1,256,185,0.049230701351957895,0.070000467283528
timm:resnet50.a1_in1k,tau_0.95,layer3.2.bn2,256,193,0.04944298331418022,0.06897260825750368
timm:resnet50.a1_in1k,tau_0.95,layer3.3.bn1,256,192,0.04979416480702059,0.06485407963939549
timm:resnet50.a1_in1k,tau_0.95,layer3.3.bn2,256,201,0.04882277627195889,0.06442570936439736
