model,scheme,site,C,m,subspace_resid,cssp_resid
resnet18,tau_0.999,layer1.0.bn1,64,64,0.0,0.0
resnet18,tau_0.999,layer1.1.bn1,64,64,0.0,0.0
resnet18,tau_0.999,layer2.0.bn1,128,128,0.0,0.0
resnet18,tau_0.999,layer2.1.bn1,128,128,0.0,0.0
resnet18,tau_0.999,layer3.0.bn1,256,255,0.000530684927765057,0.0007133714292502443
resnet18,tau_0.999,layer3.1.bn1,256,255,0.0007407516626420462,0.0008429617259800191
resnet18,tau_0.999,layer4.0.bn1,512,510,0.0009415151161341303,0.0012788338217487533
resnet18,tau_0.999,layer4.1.bn1,512,511,0.000518915237899147,0.0006741768136459696
resnet18,tau_0.99,layer1.0.bn1,64,58,0.008849054102695795,0.012143963102514926
resnet18,tau_0.99,layer1.1.bn1,64,61,0.009289372817426448,0.012127837203360038
resnet18,tau_0.99,layer2.0.bn1,128,122,0.00915666965678421,0.015363527256446335
resnet18,tau_0.99,layer2.1.bn1,128,123,0.009800719429070962,0.011677270358330777
resnet18,tau_0.99,layer3.0.bn1,256,241,0.00990697829745635,0.016298132007814596
resnet18,tau_0.99,layer3.1.bn1,256,247,0.009291134467618027,0.012193464643141312
resnet18,tau_0.99,layer4.0.bn1,512,493,0.009886667626786267,0.013860476951372325
resnet18,tau_0.99,layer4.1.bn1,512,496,0.009829506624370021,0.013316894974667025
resnet18,tau_0.95,layer1.0.bn1,64,44,0.047318388110275285,0.06919166807229385
resnet18,tau_0.95,layer1.1.bn1,64,52,0.04919770301148319,0.06866730171435348
resnet18,tau_0.95,layer2.0.bn1,128,103,0.048204220100083545,0.08152999610146335
resnet18,tau_0.95,layer2.1.bn1,128,109,0.04988317285588752,0.06412077389939687
resnet18,tau_0.95,layer3.0.bn1,256,197,0.049115584032149814,0.08100851413612468
resnet18,tau_0.95,layer3.1.bn1,256,217,0.049302909641683455,0.06703652096762133
resnet18,tau_0.95,layer4.0.bn1,512,429,0.049606203113459715,0.07151017418219609
resnet18,tau_0.95,layer4.1.bn1,512,443,0.04990324846192176,0.07044126096135535
resnet18,eps_0.001,layer1.0.bn1,64,64,0.0,0.0
resnet18,eps_0.001,layer1.1.bn1,64,64,0.0,0.0
resnet18,eps_0.001,layer2.0.bn1,128,128,0.0,0.0
resnet18,eps_0.001,layer2.1.bn1,128,128,0.0,0.0
resnet18,eps_0.001,layer3.0.bn1,256,255,0.000530684927765057,0.0007133714292502443
resnet18,eps_0.001,layer3.1.bn1,256,255,0.0007407516626420462,0.0008429617259800191
resnet18,eps_0.001,layer4.0.bn1,512,511,0.00046203822340379406,0.0006193597794822741
resnet18,eps_0.001,layer4.1.bn1,512,511,0.000518915237899147,0.0006741768136459696
resnet18,eps_0.01,layer1.0.bn1,64,59,0.006997271096811748,0.009598988319014824
resnet18,eps_0.01,layer1.1.bn1,64,62,0.005759352549546557,0.007315839991603782
resnet18,eps_0.01,layer2.0.bn1,128,124,0.005893050950026223,0.009688087615939712
resnet18,eps_0.01,layer2.1.bn1,128,124,0.007536337545284112,0.008676085205327987
resnet18,eps_0.01,layer3.0.bn1,256,247,0.005600452919665575,0.00915266556647206
resnet18,eps_0.01,layer3.1.bn1,256,249,0.007010934981350846,0.009068536573709532
resnet18,eps_0.01,layer4.0.bn1,512,498,0.007146574997436506,0.009992738416100853
resnet18,eps_0.01,layer4.1.bn1,512,500,0.0071849526279189795,0.009730292676360061
