model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,out_0.9,kernel_0.9,data_0.9,ortho_0.9,out_0.95,kernel_0.95,data_0.95,ortho_0.95,out_0.99,kernel_0.99,data_0.99,ortho_0.99,out_0.999,kernel_0.999,data_0.999,ortho_0.999
a2_mobilenetv2_s2,features.9.conv.0.0,16,64,384,1,64,64,160000,2500.0,0.39637216710589723,60.362237449519256,0.4227061649210372,0.21875,0.34375,0.359375,0.359375,0.28125,0.421875,0.4375,0.4375,0.390625,0.59375,0.609375,0.609375,0.515625,0.828125,0.828125,0.828125
a2_mobilenetv2_s2,features.9.conv.2,17,384,64,1,384,64,160000,416.6666666666667,0.4548612820241642,28.537013080050173,0.9327243822223327,0.296875,0.390625,0.890625,0.640625,0.375,0.484375,1.0,0.765625,0.5625,0.703125,1.0,0.90625,0.78125,0.921875,1.0,0.984375
a2_mobilenetv2_s2,features.10.conv.0.0,18,64,384,1,64,64,160000,2500.0,0.386775552266257,62.30222925588911,0.46336349197767746,0.234375,0.34375,0.390625,0.390625,0.28125,0.4375,0.484375,0.484375,0.40625,0.609375,0.65625,0.65625,0.546875,0.84375,0.875,0.875
a2_mobilenetv2_s2,features.10.conv.2,19,384,64,1,384,64,160000,416.6666666666667,0.39602477424973126,37.11085637085099,0.8413255680542363,0.25,0.34375,0.828125,0.625,0.328125,0.453125,1.0,0.75,0.515625,0.671875,1.0,0.90625,0.75,0.90625,1.0,0.984375
a2_mobilenetv2_s2,features.11.conv.0.0,20,64,384,1,64,64,160000,2500.0,0.5385408980372234,27.063078557537587,0.49663049715500557,0.296875,0.453125,0.421875,0.421875,0.359375,0.53125,0.515625,0.515625,0.484375,0.703125,0.703125,0.703125,0.609375,0.90625,0.90625,0.90625
a2_mobilenetv2_s2,features.11.conv.2,21,384,96,1,384,96,160000,416.6666666666667,0.35990076285886946,101.02445425516143,0.7978918404187311,0.23958333333333334,0.3020833333333333,0.8645833333333334,0.6041666666666666,0.2916666666666667,0.34375,1.0,0.75,0.375,0.4166666666666667,1.0,0.9270833333333334,0.5104166666666666,0.6875,1.0,0.9895833333333334
a2_mobilenetv2_s2,features.12.conv.0.0,22,96,576,1,96,96,160000,1666.6666666666667,0.2968921800914216,122.5808654045246,0.2949771790803234,0.17708333333333334,0.25,0.2604166666666667,0.2604166666666667,0.21875,0.3020833333333333,0.3020833333333333,0.3020833333333333,0.2916666666666667,0.3958333333333333,0.375,0.375,0.3645833333333333,0.6458333333333334,0.5104166666666666,0.5104166666666666
a2_mobilenetv2_s2,features.12.conv.2,23,576,96,1,576,96,160000,277.77777777777777,0.31979310982274384,51.16437367901532,0.7961627006837144,0.20833333333333334,0.2604166666666667,0.7604166666666666,0.5833333333333334,0.2708333333333333,0.3333333333333333,0.9270833333333334,0.7083333333333334,0.40625,0.5520833333333334,1.0,0.875,0.6666666666666666,0.8645833333333334,1.0,0.96875
a2_mobilenetv2_s2,features.13.conv.0.0,24,96,576,1,96,96,160000,1666.6666666666667,0.2925662066868518,118.44773235974914,0.32588562018989004,0.17708333333333334,0.2604166666666667,0.28125,0.28125,0.21875,0.3125,0.3333333333333333,0.3333333333333333,0.3020833333333333,0.4375,0.4479166666666667,0.4479166666666667,0.375,0.6979166666666666,0.7083333333333334,0.7083333333333334
a2_mobilenetv2_s2,features.13.conv.2,25,576,96,1,576,96,160000,277.77777777777777,0.2808115423685326,78.42444237222198,0.7140508798134824,0.19791666666666666,0.23958333333333334,0.6666666666666666,0.5625,0.25,0.3020833333333333,0.8020833333333334,0.6770833333333334,0.3854166666666667,0.5104166666666666,0.9895833333333334,0.8333333333333334,0.6145833333333334,0.8020833333333334,1.0,0.9270833333333334
a2_mobilenetv2_s2,features.14.conv.0.0,26,96,576,1,96,96,160000,1666.6666666666667,0.3383164724929186,91.06666292732794,0.3415779148945028,0.1875,0.2708333333333333,0.2916666666666667,0.2916666666666667,0.22916666666666666,0.3229166666666667,0.34375,0.34375,0.3020833333333333,0.4479166666666667,0.5,0.5,0.3854166666666667,0.7083333333333334,0.7916666666666666,0.7916666666666666
a2_mobilenetv2_s2,features.14.conv.2,27,576,160,1,576,160,160000,277.77777777777777,0.197993791781112,657.3359931051514,0.2707811733472048,0.11875,0.15625,0.3,0.29375,0.14375,0.18125,0.45625,0.4375,0.18125,0.25,0.7,0.68125,0.2625,0.4625,0.7875,0.78125
a2_mobilenetv2_s2,features.15.conv.0.0,28,160,960,1,160,160,160000,1000.0,0.1665578289851881,126.79427119094201,0.15533689402391987,0.1,0.1375,0.13125,0.13125,0.11875,0.1625,0.15,0.15,0.15,0.21875,0.1875,0.1875,0.18125,0.61875,0.2625,0.2625
a2_mobilenetv2_s2,features.15.conv.2,29,960,160,1,960,160,160000,166.66666666666666,0.2108688864567255,65.48708752347638,1.0,0.1375,0.16875,1.0,0.55,0.175,0.2125,1.0,0.7125,0.275,0.41875,1.0,0.91875,0.56875,0.83125,1.0,0.99375
a2_mobilenetv2_s2,features.16.conv.0.0,30,160,960,1,160,160,160000,1000.0,0.22462986506346186,103.71951185203758,0.2323401397487912,0.13125,0.18125,0.1875,0.1875,0.15625,0.21875,0.225,0.225,0.2,0.3375,0.325,0.325,0.2625,0.69375,0.51875,0.51875
a2_mobilenetv2_s2,features.16.conv.2,31,960,160,1,960,160,160000,166.66666666666666,0.17790970667853026,81.3970984705507,1.0,0.125,0.15,1.0,0.55,0.1625,0.19375,1.0,0.70625,0.2625,0.38125,1.0,0.9125,0.54375,0.8,1.0,0.9875
a2_mobilenetv2_s2,features.17.conv.0.0,32,160,960,1,160,160,160000,1000.0,0.24067602318334433,106.89963942826334,0.24656457697014217,0.1375,0.19375,0.2,0.2,0.1625,0.23125,0.24375,0.24375,0.2125,0.35,0.38125,0.38125,0.275,0.69375,0.6375,0.6375
a2_mobilenetv2_s2,features.17.conv.2,33,960,320,1,960,320,160000,166.66666666666666,0.031288685518015245,2943.3988026152524,0.4032860575178666,0.025,0.028125,0.45625,0.365625,0.028125,0.028125,0.609375,0.490625,0.03125,0.03125,0.86875,0.7,0.071875,0.190625,1.0,0.859375
a2_mobilenetv2_s2,features.18.0,34,320,1280,1,320,320,160000,500.0,0.031553427107836596,3081.9294778641347,0.030663789479488175,0.025,0.028125,0.028125,0.028125,0.028125,0.028125,0.028125,0.028125,0.028125,0.03125,0.03125,0.03125,0.03125,0.165625,0.075,0.075
