scheme,widths,params,param_frac,acc_full,acc_hook,acc_fold,max_logit_diff_fold_vs_hook,max_logit_diff_fold_vs_full,logit_scale
a18_ruler_act_0.999,48 64 127 128 255 255 255 510 510 510 509 510 505,14618588,0.98945150935034,73.16,73.25,73.28,0.16270732879638672,0.4802980422973633,18.930957794189453
kstar_0.999,47 64 127 128 255 255 255 509 510 510 510 510 505,14620277,0.9895658284350076,73.16,73.21,73.29,0.16991519927978516,0.5176653861999512,18.930957794189453
kstar_0.99,31 58 118 122 243 244 246 489 490 492 488 492 452,13338072,0.9027804513146898,73.16,72.39,72.38,1.2422723770141602,3.499730110168457,18.930957794189453
a18_ruler_act_0.95,18 44 89 101 201 205 212 418 418 428 411 426 313,9448889,0.6395431270608232,73.16,60.38,62.17,4.924060821533203,10.209622383117676,18.930957794189453
