model,scheme,tau,block,H,m,subspace_resid,cssp_resid
deit_small_patch16_224.fb_in1k,eps_0.001,,blocks.7.mlp,1536,1454,0.0009652949630411208,0.0009723780079152598
deit_small_patch16_224.fb_in1k,eps_0.001,,blocks.8.mlp,1536,1456,0.0009895388041505043,0.0009949212085026483
deit_small_patch16_224.fb_in1k,eps_0.001,,blocks.9.mlp,1536,1425,0.0009790824694364398,0.0009888895528584454
deit_small_patch16_224.fb_in1k,eps_0.001,,blocks.10.mlp,1536,1466,0.000960105661027151,0.0009950365614582429
deit_small_patch16_224.fb_in1k,eps_0.001,,blocks.11.mlp,1536,1482,0.0008678371268076963,0.000987152057017434
deit_small_patch16_224.fb_in1k,eps_0.01,,blocks.0.mlp,1536,1142,0.006842058403838989,0.009982009121837549
deit_small_patch16_224.fb_in1k,eps_0.01,,blocks.1.mlp,1536,1307,0.007790075282682891,0.00994897477965259
deit_small_patch16_224.fb_in1k,eps_0.01,,blocks.2.mlp,1536,1270,0.008807025519854936,0.009941009457341308
deit_small_patch16_224.fb_in1k,eps_0.01,,blocks.3.mlp,1536,1258,0.009101858969954428,0.009886526428074274
deit_small_patch16_224.fb_in1k,eps_0.01,,blocks.4.mlp,1536,1259,0.008794319813042203,0.00995833147321321
deit_small_patch16_224.fb_in1k,eps_0.01,,blocks.5.mlp,1536,1299,0.009158101829385135,0.009962865348165425
deit_small_patch16_224.fb_in1k,eps_0.01,,blocks.6.mlp,1536,1357,0.009296538977450359,0.009931667108369702
deit_small_patch16_224.fb_in1k,eps_0.01,,blocks.7.mlp,1536,1305,0.009587336989668068,0.009911176175923929
deit_small_patch16_224.fb_in1k,eps_0.01,,blocks.8.mlp,1536,1321,0.009525248501996366,0.009943845417132651
deit_small_patch16_224.fb_in1k,eps_0.01,,blocks.9.mlp,1536,1169,0.009852653334550723,0.009960657060780538
deit_small_patch16_224.fb_in1k,eps_0.01,,blocks.10.mlp,1536,1201,0.009337451059863194,0.009982614578556308
deit_small_patch16_224.fb_in1k,eps_0.01,,blocks.11.mlp,1536,1290,0.007860835733508433,0.009932191461877836
