model,scheme,tau,block,H,m,subspace_resid,cssp_resid
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.001,,blocks.2.mlp,3072,2723,0.0008124969135368438,0.0009991727433984788
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.001,,blocks.3.mlp,3072,2657,0.0008116678765385161,0.0009969977736810844
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.001,,blocks.4.mlp,3072,2814,0.0008041636451841994,0.0009970391349486815
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.001,,blocks.5.mlp,3072,2926,0.0008162986964055117,0.0009945177727913152
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.001,,blocks.6.mlp,3072,2980,0.0009046438624223646,0.0009878391199534937
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.001,,blocks.7.mlp,3072,3005,0.0009084071455374514,0.000983145218415083
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.001,,blocks.8.mlp,3072,2988,0.0009658026759171917,0.0009898644559929923
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.001,,blocks.9.mlp,3072,2917,0.0009859507450926475,0.000999157308558153
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.001,,blocks.10.mlp,3072,2769,0.0009863182529971795,0.0009985186683427129
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.001,,blocks.11.mlp,3072,2733,0.0009174360103837324,0.0009969264348351368
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.01,,blocks.0.mlp,3072,1309,0.007734587466574799,0.009984592362295286
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.01,,blocks.1.mlp,3072,1941,0.008515257220755591,0.009997302415045766
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.01,,blocks.2.mlp,3072,2036,0.008829214326438503,0.00997084864330329
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.01,,blocks.3.mlp,3072,1945,0.008871235917261562,0.00999241624923218
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.01,,blocks.4.mlp,3072,2333,0.009140613470065331,0.009962557387198812
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.01,,blocks.5.mlp,3072,2627,0.009069859557331526,0.00994837976458666
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.01,,blocks.6.mlp,3072,2768,0.009027426570431263,0.009981008427731598
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.01,,blocks.7.mlp,3072,2791,0.009085079571211139,0.00996014334314957
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.01,,blocks.8.mlp,3072,2743,0.009346382802805878,0.009991056306488045
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.01,,blocks.9.mlp,3072,2563,0.009584125967254567,0.009992897979385806
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.01,,blocks.10.mlp,3072,2145,0.00976675281943288,0.009981113975612708
vit_base_patch16_224.augreg_in21k_ft_in1k,eps_0.01,,blocks.11.mlp,3072,1927,0.008986725261373445,0.009994593603555514
