model,scheme,tau,block,H,m,subspace_resid,cssp_resid
convnext_tiny.fb_in1k,tau_0.95,0.95,stages.2.blocks.0.mlp,1536,993,0.04989837925980485,0.05993867122409957
convnext_tiny.fb_in1k,tau_0.95,0.95,stages.2.blocks.1.mlp,1536,1234,0.04992701602084036,0.07014057454835956
convnext_tiny.fb_in1k,tau_0.95,0.95,stages.2.blocks.2.mlp,1536,1246,0.04992802450290123,0.0706446473003911
convnext_tiny.fb_in1k,tau_0.95,0.95,stages.2.blocks.3.mlp,1536,1211,0.049802109993529554,0.06353351955498081
convnext_tiny.fb_in1k,tau_0.95,0.95,stages.2.blocks.4.mlp,1536,1251,0.04982366989214976,0.06371289723152454
convnext_tiny.fb_in1k,tau_0.95,0.95,stages.2.blocks.5.mlp,1536,1222,0.04994543679690764,0.06300759510648991
convnext_tiny.fb_in1k,tau_0.95,0.95,stages.2.blocks.6.mlp,1536,1090,0.04987120399541771,0.057065063800683366
convnext_tiny.fb_in1k,tau_0.95,0.95,stages.2.blocks.7.mlp,1536,1154,0.04981047153291842,0.05763478065632248
convnext_tiny.fb_in1k,tau_0.95,0.95,stages.2.blocks.8.mlp,1536,1241,0.04988076674222398,0.059958136461657416
convnext_tiny.fb_in1k,tau_0.95,0.95,stages.3.blocks.0.mlp,3072,2365,0.049917275446968966,0.057388122078551616
convnext_tiny.fb_in1k,tau_0.95,0.95,stages.3.blocks.1.mlp,3072,2347,0.049900141334612104,0.05600337191090751
convnext_tiny.fb_in1k,tau_0.95,0.95,stages.3.blocks.2.mlp,3072,2315,0.04998231171194729,0.061031005524835244
convnext_tiny.fb_in1k,eps_0.001,,stages.0.blocks.0.mlp,384,368,0.0006804259679521807,0.0009808606309543429
convnext_tiny.fb_in1k,eps_0.001,,stages.0.blocks.1.mlp,384,376,0.0008100851874433735,0.00089115666702499
convnext_tiny.fb_in1k,eps_0.001,,stages.0.blocks.2.mlp,384,380,0.0007246400184628593,0.0007474138005645093
convnext_tiny.fb_in1k,eps_0.001,,stages.1.blocks.0.mlp,768,712,0.0008842836957913734,0.0009715646949588341
convnext_tiny.fb_in1k,eps_0.001,,stages.1.blocks.1.mlp,768,709,0.000871176458328185,0.0009986448580858083
convnext_tiny.fb_in1k,eps_0.001,,stages.1.blocks.2.mlp,768,731,0.0008829289891865975,0.000992087975250621
convnext_tiny.fb_in1k,eps_0.001,,stages.2.blocks.0.mlp,1536,1442,0.0008784095081490622,0.0009908257479902842
convnext_tiny.fb_in1k,eps_0.001,,stages.2.blocks.1.mlp,1536,1515,0.0009553854703058272,0.0009970147969393564
convnext_tiny.fb_in1k,eps_0.001,,stages.2.blocks.2.mlp,1536,1522,0.0008366421943401038,0.0009032754099634927
convnext_tiny.fb_in1k,eps_0.001,,stages.2.blocks.3.mlp,1536,1504,0.0009119850767912382,0.0009481079663758137
convnext_tiny.fb_in1k,eps_0.001,,stages.2.blocks.4.mlp,1536,1517,0.0008994914613304891,0.0009693943617425865
convnext_tiny.fb_in1k,eps_0.001,,stages.2.blocks.5.mlp,1536,1509,0.000890535672484156,0.0009567739855735813
convnext_tiny.fb_in1k,eps_0.001,,stages.2.blocks.6.mlp,1536,1467,0.0008897475807221488,0.0009969902181434255
convnext_tiny.fb_in1k,eps_0.001,,stages.2.blocks.7.mlp,1536,1483,0.0008730596851520893,0.0009872146909215217
convnext_tiny.fb_in1k,eps_0.001,,stages.2.blocks.8.mlp,1536,1520,0.0008788264830462566,0.0009477361636685435
convnext_tiny.fb_in1k,eps_0.001,,stages.3.blocks.0.mlp,3072,3029,0.0008867063319899858,0.0009732424459630409
