model,tau,acc_full,acc_fold,params_full,params_fold,param_frac,mlp_frac,widths
deit_small_patch16_224.fb_in1k,0.999,80.4375,79.53125,22050664,21140937,0.958743782046654,0.9358390009433792,1350 1441 1427 1428 1430 1437 1462 1453 1456 1424 1464 1477
deit_small_patch16_224.fb_in1k,0.99,80.4375,77.34375,22050664,19386848,0.8791956559675482,0.8121270492543242,1068 1278 1258 1250 1247 1292 1352 1301 1316 1167 1187 1252
deit_small_patch16_224.fb_in1k,0.95,80.4375,73.1875,22050664,16509250,0.7486962750872264,0.6091765349095439,593 925 982 1016 1010 1065 1129 1029 1023 858 705 891
