epoch,lr,train_loss,top1,top5,seconds,img_per_s
1,0.10000,4.9453,19.192,41.422,642,1996
2,0.10000,3.5636,32.108,58.010,561,2283
3,0.10000,3.1353,36.474,62.512,585,2190
4,0.10000,2.9349,38.860,65.542,561,2284
5,0.10000,2.8215,42.136,69.206,572,2238
6,0.10000,2.7487,42.178,69.082,568,2257
7,0.10000,2.6979,43.396,70.666,620,2068
8,0.10000,2.6600,45.550,72.184,567,2260
9,0.10000,2.6298,46.096,72.716,617,2077
10,0.10000,2.6075,44.252,70.800,562,2279
11,0.10000,2.5869,46.260,73.024,618,2073
12,0.10000,2.5721,45.902,72.132,560,2287
13,0.10000,2.5594,46.584,72.678,561,2284
14,0.10000,2.5463,44.622,71.026,559,2293
15,0.10000,2.5393,42.928,69.272,555,2307
16,0.10000,2.5294,47.008,73.410,622,2061
17,0.10000,2.5218,46.984,73.356,553,2319
18,0.10000,2.5136,47.802,74.182,617,2077
19,0.10000,2.5092,47.302,73.544,562,2278
20,0.10000,2.5007,45.862,72.614,558,2294
21,0.10000,2.4973,47.050,73.464,618,2073
22,0.10000,2.4917,47.796,73.562,564,2271
23,0.10000,2.4871,46.758,73.210,557,2299
24,0.10000,2.4833,48.576,74.734,637,2010
25,0.10000,2.4825,47.262,73.746,557,2299
26,0.10000,2.4747,47.584,73.626,643,1993
27,0.10000,2.4748,47.588,73.918,561,2282
28,0.10000,2.4668,46.390,72.388,618,2073
29,0.10000,2.4648,46.508,72.278,567,2258
30,0.10000,2.4634,48.746,74.970,600,2134
31,0.01000,1.9448,62.462,84.728,565,2269
32,0.01000,1.8250,63.558,85.422,630,2033
33,0.01000,1.7769,63.668,85.436,566,2265
34,0.01000,1.7508,63.856,85.772,564,2272
35,0.01000,1.7297,63.298,85.424,626,2047
36,0.01000,1.7231,63.578,85.470,552,2319
37,0.01000,1.7130,64.078,85.820,612,2094
38,0.01000,1.7065,63.626,85.638,555,2310
39,0.01000,1.7031,63.968,85.794,585,2191
40,0.01000,1.7022,63.906,85.810,575,2226
41,0.01000,1.7012,63.624,85.488,563,2275
42,0.01000,1.7032,63.614,85.646,616,2080
43,0.01000,1.7029,63.162,85.308,568,2256
44,0.01000,1.7022,63.740,85.526,594,2158
45,0.01000,1.7025,63.570,85.554,571,2244
46,0.01000,1.7029,63.922,85.742,630,2034
47,0.01000,1.7041,63.622,85.476,568,2254
48,0.01000,1.7011,63.780,85.648,633,2025
49,0.01000,1.7003,62.238,84.662,567,2260
50,0.01000,1.6990,63.296,85.218,594,2156
51,0.01000,1.6993,63.568,85.476,569,2252
52,0.01000,1.6982,62.802,85.004,571,2243
53,0.01000,1.6940,63.914,85.706,571,2242
54,0.01000,1.6917,63.102,85.372,613,2089
55,0.01000,1.6913,63.930,85.832,568,2256
56,0.01000,1.6911,63.936,85.992,553,2317
57,0.01000,1.6860,63.488,85.492,605,2116
58,0.01000,1.6843,62.886,85.252,548,2339
59,0.01000,1.6867,62.678,85.334,587,2184
60,0.01000,1.6824,63.960,85.938,562,2280
61,0.00100,1.4947,67.638,88.062,556,2303
62,0.00100,1.4466,67.972,88.250,617,2075
63,0.00100,1.4308,68.224,88.418,564,2273
64,0.00100,1.4169,68.330,88.434,563,2274
65,0.00100,1.4061,68.420,88.532,564,2272
66,0.00100,1.4000,68.310,88.650,628,2041
67,0.00100,1.3935,68.440,88.614,559,2292
68,0.00100,1.3865,68.456,88.714,595,2154
69,0.00100,1.3815,68.592,88.708,558,2296
70,0.00100,1.3772,68.510,88.716,558,2297
71,0.00100,1.3717,68.660,88.728,613,2090
72,0.00100,1.3673,68.590,88.664,552,2319
73,0.00100,1.3648,68.638,88.764,634,2019
74,0.00100,1.3628,68.664,88.764,553,2315
75,0.00100,1.3581,68.766,88.808,609,2102
76,0.00100,1.3554,68.688,88.758,560,2289
77,0.00100,1.3507,68.800,88.810,558,2295
78,0.00100,1.3481,68.696,88.872,617,2076
79,0.00100,1.3474,68.736,88.782,551,2326
80,0.00100,1.3425,68.830,88.688,577,2221
81,0.00100,1.3394,68.884,88.944,574,2230
82,0.00100,1.3378,68.802,88.862,557,2299
83,0.00100,1.3373,68.778,88.794,613,2089
84,0.00100,1.3346,68.766,88.792,566,2265
85,0.00100,1.3318,68.782,88.768,632,2026
86,0.00100,1.3302,68.614,88.770,556,2302
87,0.00100,1.3292,68.644,88.774,592,2165
88,0.00100,1.3262,68.674,88.722,555,2309
89,0.00100,1.3241,68.704,88.802,577,2221
90,0.00100,1.3204,68.822,88.726,561,2283
