arm,seed,epoch,cka_to_final_median,cka_to_final_min,rho_align_median,rho_align_sigma_median
uniform,1,7,0.7601245213678915,0.40178283922945085,0.7865422195740258,0.5806858893103871
uniform,1,10,0.7928607624611406,0.4599004490166691,0.8570876324013178,0.753968253968254
uniform,1,15,0.8093774781084014,0.5406793228809494,0.913029421053932,0.8784456485921028
uniform,1,20,0.7717937282722439,0.5247324352083331,0.9475391180654336,0.9626718558974532
uniform,1,30,0.8171066558334634,0.5884504375065822,0.9517496443812232,0.9750739744898668
uniform,1,40,0.819988076264382,0.6119945067089383,0.9640123344821332,0.9771804118665915
uniform,1,50,0.8301806257870152,0.6301920539999962,0.9621344190938588,0.9747452771103154
uniform,1,60,0.8180623277605386,0.6211080016662809,0.95612700369047,0.978037761064152
uniform,1,70,0.8142542388540694,0.5984816313102568,0.952994513834899,0.9790760636848166
uniform,1,80,0.864107876105866,0.6636443237291209,0.959681663212448,0.9782781846874412
uniform,1,90,0.952491983806916,0.8314452522328525,0.9608379818476112,0.9818520924661076
uniform,1,100,1.0,1.0,0.9557787477250564,0.9840370138818594
uniform,2,0,0.2647727584413169,0.059342434076776196,-0.0004858805559126,0.0107673968984172
uniform,2,1,0.6159436615659758,0.23443030741929036,0.4989920755896828,0.1956397460382103
uniform,2,2,0.6553938198034052,0.2760331651504645,0.5842517564139974,0.2640129501822248
uniform,2,3,0.6991701208942822,0.29410938446629276,0.6745945945945946,0.2962436440010612
uniform,2,5,0.7431193257075733,0.34926416624312445,0.7497898787656593,0.4153179717388802
uniform,2,7,0.7535864614941973,0.3527047828435016,0.7853473569843572,0.5513254008666015
uniform,2,10,0.7564302385973367,0.4099118532212579,0.8560537475039955,0.7777777777777777
uniform,2,15,0.7908594235754643,0.5151204959006986,0.9132290184921764,0.8996477900597373
uniform,2,20,0.7838262443568849,0.5694321250548521,0.9482708388456856,0.9626000360074382
uniform,2,30,0.8110078557270399,0.594124682586099,0.9486486486486486,0.9765116461963732
uniform,2,40,0.7696445255015546,0.571104683748372,0.9638853618719392,0.9737033526562596
uniform,2,50,0.780774934536923,0.5688810609893278,0.9643368660001284,0.9764990200180844
uniform,2,60,0.8244727011172365,0.6791316433284053,0.9588432188373828,0.9743230755075484
uniform,2,70,0.8109102786224234,0.6590264632013503,0.9591551981397326,0.9759780341628695
uniform,2,80,0.8926956961619356,0.7614025088915317,0.9604031153491324,0.9733617228849044
uniform,2,90,0.9623886242378854,0.8879641958339812,0.96293658680586,0.98162519972609
uniform,2,100,1.0,1.0,0.9607214430675184,0.979227199035462
ruler95,0,0,0.18826882786992813,0.08693892246934339,0.0373755656108597,0.0012895070750771
ruler95,0,1,0.5359476130984381,0.2161837420335724,0.3745131432802664,0.2038392050587172
ruler95,0,2,0.6298355170325383,0.2566464825048529,0.5084783413550535,0.2983064655438995
ruler95,0,3,0.6959727865344865,0.29138429929125864,0.5700577200577203,0.3621519769000249
ruler95,0,5,0.754367229971719,0.3809262550487614,0.7335811593885987,0.4946815402674645
ruler95,0,7,0.7464242385622691,0.41359226197234555,0.807754039929151,0.6440781440781441
ruler95,0,10,0.7385556426082336,0.4706003229173841,0.8520923520923522,0.7613511845046949
ruler95,0,15,0.79175768959057,0.4690929880029681,0.9184598296927062,0.9206858784447084
ruler95,0,20,0.7908187299466991,0.5324562349835766,0.9360028860028864,0.9547675618595052
ruler95,0,30,0.790275267268708,0.5525238532810055,0.8974025974025976,0.9609471248854904
ruler95,0,40,0.8119512806336855,0.6272106563579408,0.8799422799422801,0.9594965776611796
ruler95,0,50,0.7842674081532426,0.6641977693508151,0.8428571428571431,0.9614273740999852
ruler95,0,60,0.7910346065917367,0.6839407898924618,0.8808145131432801,0.9519959995616905
ruler95,0,70,0.8594388914019295,0.7458224195842051,0.8821789321789324,0.9556233062330622
ruler95,0,80,0.8814316817608734,0.7790124592160542,0.8928100703443167,0.9574668264323436
ruler95,0,90,0.9597989495856192,0.9259135326227589,0.8788177339901475,0.9616305329719964
ruler95,0,100,1.0,1.0,0.8796536796536799,0.9569775770517506
ruler95,1,0,0.2174822942555976,0.03621893822025189,0.0319327731092437,0.0036630036630036
ruler95,1,1,0.5737327090556747,0.20573871353434844,0.3627705627705628,0.227736185668733
ruler95,1,2,0.6755878789811869,0.28633435340054675,0.5124819624819626,0.2652431551752808
ruler95,1,3,0.7366463965339325,0.3671844998802409,0.5963272861902997,0.3514432606942868
ruler95,1,5,0.7638404798477084,0.3639963057907331,0.7105263157894737,0.4686459157719464
ruler95,1,7,0.7719406716966977,0.42912563033881274,0.8534764901888188,0.5889987678975024
ruler95,1,10,0.7986039965397321,0.46813288587209745,0.8618326118326121,0.7627742273768385
ruler95,1,15,0.7918751789821102,0.4934517925926311,0.9308802308802312,0.9205474527139388
ruler95,1,20,0.7831057139219335,0.5518995660311142,0.9226551226551228,0.9422913049969528
ruler95,1,30,0.8187378431149784,0.5478402192935263,0.769747899159664,0.9578467372261024
ruler95,1,40,0.7908563335578804,0.5744432287291543,0.8603174603174605,0.9654353817144512
ruler95,1,50,0.8483341888488886,0.6480682848903321,0.8922077922077924,0.956032351741186
ruler95,1,60,0.8437731014335265,0.7003733084179804,0.8207792207792209,0.953937168502652
ruler95,1,70,0.8535381765198996,0.730351514394775,0.8152236652236654,0.9582743885119014
ruler95,1,80,0.9004532417629089,0.7847415980369397,0.8748768472906402,0.9546811625506998
ruler95,1,90,0.9501604283636212,0.9153292766402301,0.8650246305418716,0.9627597109304424
ruler95,1,100,1.0,1.0,0.8792307692307693,0.9584914182475156
ruler95,2,0,0.20221617549508686,0.043357714338827076,-0.0211625323954091,0.0200695514756719
ruler95,2,1,0.5305725012226143,0.22406182857016435,0.3775303643724696,0.2081493506493506
ruler95,2,2,0.6416690802978233,0.2981309377364355,0.5552669552669554,0.2880345548392661
ruler95,2,3,0.6897589675894193,0.32729964367742553,0.6637651821862348,0.3786026679119164
ruler95,2,5,0.7186889854111999,0.44498250206600704,0.7304473304473306,0.4930257316049696
ruler95,2,7,0.7355628692141821,0.4245707818530293,0.778342918370471,0.6245421245421245
ruler95,2,10,0.7721644920876447,0.48884310448611173,0.8490620490620492,0.7369880508683259
ruler95,2,15,0.7913564126192882,0.4544725962741769,0.8933198380566802,0.9149725165797854
ruler95,2,20,0.7758379375911822,0.5763989337045086,0.9226551226551228,0.9547963616291072
ruler95,2,30,0.8087516900718595,0.6281209787075216,0.861688311688312,0.952981029810298
ruler95,2,40,0.7655542347383923,0.5722703485469997,0.9127601809954752,0.9572120868514656
ruler95,2,50,0.8171843951356965,0.6903019617638985,0.8665223665223667,0.9589195286437712
ruler95,2,60,0.8331942069798848,0.7126883961267468,0.926787330316742,0.9561022983732682
ruler95,2,70,0.8505755807040537,0.7501953952661254,0.8564935064935066,0.957529939760482
ruler95,2,80,0.8951191415385525,0.6880365292138529,0.869950738916256,0.954607171114707
ruler95,2,90,0.9607928245098434,0.9206908132242702,0.913076923076923,0.962125660598943
ruler95,2,100,1.0,1.0,0.8976923076923078,0.9577009936766032
