arm,seed,epoch,cka_to_final_median,cka_to_final_min,rho_align_median,rho_align_sigma_median
ruler,0,0,0.21455251744649473,0.06292613933896013,-0.0240600325241482,-0.0049971315582906
ruler,0,1,0.5772092104107983,0.2082781891028044,0.5016522377109317,0.1835982919174769
ruler,0,2,0.6575872917995098,0.28595330669437086,0.6232679045092838,0.2349587850421604
ruler,0,3,0.6820124668058531,0.2992515582733889,0.6573774283071231,0.2968482314837956
ruler,0,5,0.7163461196654213,0.3945287627410713,0.7560660362713534,0.4196500059505516
ruler,0,7,0.7560071504678152,0.399167931320206,0.7867920311529996,0.5538253963429439
ruler,0,10,0.7613503347152404,0.435256327172337,0.8631732596641785,0.7426565031878454
ruler,0,15,0.7625104704484444,0.48112134391523514,0.9144465290806756,0.9290214615737492
ruler,0,20,0.7715789769495675,0.5026832185726202,0.9506239833694426,0.9618478277836718
ruler,0,30,0.7890504785792118,0.564127797353024,0.9652011922503724,0.9710689757157464
ruler,0,40,0.7685655725418717,0.5505159079973793,0.9631960438964908,0.9735977292941363
ruler,0,50,0.7682082889146845,0.5937659261921926,0.961790214698875,0.9715033809417252
ruler,0,60,0.8047385977371638,0.6068552343551306,0.9536767435424978,0.972746819671959
ruler,0,70,0.8484908154339488,0.6971321260633421,0.9576885955143392,0.9788461457627428
ruler,0,80,0.89007624404318,0.6801035577916519,0.9541527067536588,0.9756149173659354
ruler,0,90,0.9596003947959677,0.8720270024267018,0.9574233435249492,0.982369736713224
ruler,0,100,1.0,1.0,0.9590656799259945,0.983592050993626
ruler,1,0,0.13292730549238063,0.02313496921307031,-0.0051411588949375,-0.0082277250929498
ruler,1,1,0.5679685952324637,0.2402089412713565,0.5438251618871416,0.2167505135006122
ruler,1,2,0.6291893500866578,0.2946548663019526,0.6738515351729498,0.2821211623180202
ruler,1,3,0.6541588748876146,0.3310516428775954,0.6779268065804978,0.3215003312588824
ruler,1,5,0.7545509041686884,0.35505453696656225,0.7579497978550361,0.4311643082537434
ruler,1,7,0.7412428811981886,0.39107584911783333,0.8234245179230703,0.5612596769986363
ruler,1,10,0.7798847718011072,0.4417610655195383,0.8885553470919326,0.7314922149837187
ruler,1,15,0.8059574095090238,0.5288577174138678,0.9251407129455912,0.919793948957548
ruler,1,20,0.7932152033517892,0.5320565963258742,0.9529641627631356,0.9632716126389076
ruler,1,30,0.8213944592062739,0.6072524362589057,0.9628641105541252,0.9707217425869684
ruler,1,40,0.7980478750377153,0.5792768047746065,0.9583051077089824,0.9732258203196372
ruler,1,50,0.8486456356499466,0.6443133830363725,0.964285473235197,0.9704677384315712
ruler,1,60,0.8055778778703857,0.5732766917333328,0.959797112600482,0.9716020482699348
ruler,1,70,0.8234655683206986,0.579581513446727,0.9619563744750032,0.9716445959556635
ruler,1,80,0.8657103048621841,0.6592086623173751,0.9580537388381558,0.975645284144773
ruler,1,90,0.9567517900479853,0.9013086320322611,0.9504775210750468,0.980623779617935
ruler,1,100,1.0,1.0,0.9519779159157944,0.9846179227596552
ruler,2,0,0.18326636955235806,0.06929948235175719,0.0153792784458834,0.007085329756458
ruler,2,1,0.5832171120074926,0.26355046701039514,0.512372802960222,0.1928247848686646
ruler,2,2,0.629087329655737,0.2980728571730224,0.6245503303536728,0.2510979152176836
ruler,2,3,0.6894265842603131,0.3706000298514715,0.7146894675476098,0.2799844673463164
ruler,2,5,0.7052561508296866,0.4176658526407018,0.7510168745414526,0.4041022723569651
ruler,2,7,0.718771249507504,0.43888405360023713,0.825216487469712,0.5394697091385077
ruler,2,10,0.7506872115664573,0.4590543780054055,0.8896038768636821,0.7294388707713058
ruler,2,15,0.7768664662184174,0.5504137129703864,0.9314292321924144,0.9184978327139748
ruler,2,20,0.7457318325296611,0.49298621077551713,0.9474666298805422,0.9617838927179768
ruler,2,30,0.7786030287995492,0.5409817278945134,0.9672264738601258,0.968673237782414
ruler,2,40,0.7695480589988866,0.5491957439108718,0.9675954624978836,0.9711589852802364
ruler,2,50,0.8045305612787761,0.6055506226201166,0.9644740673852928,0.9716295463067118
ruler,2,60,0.8147557045537289,0.6530616369871067,0.9471516451267,0.9770596265099478
ruler,2,70,0.8395728555904973,0.6737692249831259,0.9483616456910662,0.9736592406418448
ruler,2,80,0.8729929996977154,0.6604944608213782,0.9493235509904624,0.9693171778059948
ruler,2,90,0.9536703450994567,0.8852959817543593,0.956199108301823,0.9771908511436072
ruler,2,100,1.0,1.0,0.9505127828884248,0.9824101987251596
uniform,0,0,0.22751503194705697,0.05999985793030043,0.0127480500634863,0.0096569004292291
uniform,0,1,0.584106036520322,0.26287878061262476,0.4674576793047759,0.2296424537191485
uniform,0,2,0.6379651360583344,0.31201434661533417,0.5710089605625059,0.2770259764500794
uniform,0,3,0.6573725049503678,0.3669328689899054,0.6699680697346294,0.3204727569904108
uniform,0,5,0.7207116378373946,0.3846013898527003,0.7346960661813303,0.4521146356157678
uniform,0,7,0.7407045455220165,0.4137466752758378,0.7794895828161074,0.5988034968404747
uniform,0,10,0.7446924510129659,0.4955168639964761,0.8519209286644361,0.7876504513709073
uniform,0,15,0.6938068781252881,0.5070905294206686,0.922949265054528,0.8691002885144723
uniform,0,20,0.781157657345958,0.5278865293603504,0.9464669817748312,0.965674642249204
uniform,0,30,0.8064859015506518,0.5458145152647319,0.9623897581792318,0.9777018397438816
uniform,0,40,0.8042008021266129,0.5686936240590161,0.9666860148739344,0.9766741374312116
uniform,0,50,0.7707823099339296,0.5506941813178936,0.9602539452203884,0.9754821646874204
uniform,0,60,0.8023411259408655,0.6309106643780674,0.960460704551746,0.9711952445336904
uniform,0,70,0.8268971208204409,0.6407558904893457,0.9573971403559964,0.9782551499994104
uniform,0,80,0.8828813376541574,0.6531848399071716,0.9544455803574564,0.977151306251925
uniform,0,90,0.9520182368315866,0.8629178990490458,0.9550213371266002,0.980934256527648
uniform,0,100,1.0,1.0,0.95881465096522,0.9835697270849064
uniform,1,0,0.20609451114716915,0.042851747427062256,0.0087184157799856,0.0127919631123243
uniform,1,1,0.5886800620579713,0.2375843525434679,0.4829094866678759,0.1858344528786777
uniform,1,2,0.6879924808791256,0.305030939497146,0.6369816796662434,0.2583338695451819
uniform,1,3,0.660860693742565,0.3596531348748853,0.6878506507919988,0.305042168308081
uniform,1,5,0.738899196646439,0.33894806020451074,0.7353930315704462,0.4268879151188914
