arm,seed,corruption,severity,acc
ruler95,1,shot_noise,5,32.36
ruler95,2,shot_noise,1,82.85
ruler95,2,shot_noise,2,73.65
ruler95,2,shot_noise,3,51.0
ruler95,2,shot_noise,4,43.54
ruler95,2,shot_noise,5,33.34
full,0,impulse_noise,1,76.83
full,0,impulse_noise,2,62.55
full,0,impulse_noise,3,51.96
full,0,impulse_noise,4,33.7
full,0,impulse_noise,5,19.77
full,1,impulse_noise,1,78.6
full,1,impulse_noise,2,66.04
full,1,impulse_noise,3,55.93
full,1,impulse_noise,4,38.77
full,1,impulse_noise,5,24.43
full,2,impulse_noise,1,79.18
full,2,impulse_noise,2,65.88
full,2,impulse_noise,3,55.82
full,2,impulse_noise,4,36.53
full,2,impulse_noise,5,20.48
ruler,0,impulse_noise,1,77.05
ruler,0,impulse_noise,2,61.48
ruler,0,impulse_noise,3,51.25
ruler,0,impulse_noise,4,34.87
ruler,0,impulse_noise,5,22.15
ruler,1,impulse_noise,1,79.48
ruler,1,impulse_noise,2,67.51
ruler,1,impulse_noise,3,57.98
ruler,1,impulse_noise,4,39.31
ruler,1,impulse_noise,5,24.86
ruler,2,impulse_noise,1,76.47
ruler,2,impulse_noise,2,63.1
ruler,2,impulse_noise,3,54.08
ruler,2,impulse_noise,4,38.46
ruler,2,impulse_noise,5,24.03
ruler_act,0,impulse_noise,1,77.55
ruler_act,0,impulse_noise,2,64.12
ruler_act,0,impulse_noise,3,53.63
ruler_act,0,impulse_noise,4,34.97
ruler_act,0,impulse_noise,5,23.13
ruler_act,1,impulse_noise,1,78.15
ruler_act,1,impulse_noise,2,63.92
ruler_act,1,impulse_noise,3,53.02
ruler_act,1,impulse_noise,4,36.64
ruler_act,1,impulse_noise,5,22.74
ruler_act,2,impulse_noise,1,76.33
ruler_act,2,impulse_noise,2,61.63
ruler_act,2,impulse_noise,3,51.78
ruler_act,2,impulse_noise,4,39.46
ruler_act,2,impulse_noise,5,28.46
uniform,0,impulse_noise,1,79.22
uniform,0,impulse_noise,2,66.76
uniform,0,impulse_noise,3,56.87
uniform,0,impulse_noise,4,38.33
uniform,0,impulse_noise,5,23.83
uniform,1,impulse_noise,1,77.52
uniform,1,impulse_noise,2,64.62
uniform,1,impulse_noise,3,54.79
uniform,1,impulse_noise,4,34.4
uniform,1,impulse_noise,5,18.91
uniform,2,impulse_noise,1,76.91
uniform,2,impulse_noise,2,62.65
uniform,2,impulse_noise,3,51.85
uniform,2,impulse_noise,4,33.69
uniform,2,impulse_noise,5,20.77
ruler95,0,impulse_noise,1,78.71
ruler95,0,impulse_noise,2,68.75
ruler95,0,impulse_noise,3,58.69
ruler95,0,impulse_noise,4,44.38
ruler95,0,impulse_noise,5,30.39
ruler95,1,impulse_noise,1,80.32
ruler95,1,impulse_noise,2,69.02
ruler95,1,impulse_noise,3,60.56
ruler95,1,impulse_noise,4,41.28
ruler95,1,impulse_noise,5,26.9
ruler95,2,impulse_noise,1,79.86
ruler95,2,impulse_noise,2,69.07
ruler95,2,impulse_noise,3,60.43
ruler95,2,impulse_noise,4,42.24
ruler95,2,impulse_noise,5,26.94
full,0,defocus_blur,1,93.63
full,0,defocus_blur,2,92.12
full,0,defocus_blur,3,87.85
full,0,defocus_blur,4,79.11
full,0,defocus_blur,5,56.99
full,1,defocus_blur,1,93.57
full,1,defocus_blur,2,91.99
full,1,defocus_blur,3,87.52
full,1,defocus_blur,4,79.69
full,1,defocus_blur,5,54.75
full,2,defocus_blur,1,93.4
full,2,defocus_blur,2,92.2
full,2,defocus_blur,3,88.18
full,2,defocus_blur,4,80.7
full,2,defocus_blur,5,59.32
ruler,0,defocus_blur,1,93.33
ruler,0,defocus_blur,2,91.91
ruler,0,defocus_blur,3,86.28
ruler,0,defocus_blur,4,76.95
ruler,0,defocus_blur,5,54.6
ruler,1,defocus_blur,1,93.38
ruler,1,defocus_blur,2,92.0
ruler,1,defocus_blur,3,87.25
ruler,1,defocus_blur,4,78.2
ruler,1,defocus_blur,5,54.93
ruler,2,defocus_blur,1,93.34
