layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
conv1,conv,0,64,1,False,27.0,0,32.0,32.0,160000,19.955924858221458,2.936226422474698,0.045878537851167155,4.476398487542514,0.06994372636785177,1.8395312946866627,0.028742676479479104,15.04908329276088,10,64,0.9352236849650892,44,5,6,10,15,0.078125,0.09375,0.15625,0.234375,2500.0,64.0,10000.0,5.19943795086611,2.0108351036259227,0.03141929849415504,2.358152572101475,0.03684613393908555,1.545213729535147,0.02414396452398667,9.316673209248233,10.0,64.0,0.9609288845838202,43.0,2.0,3.0,3.0,5.0,0.03125,0.046875,0.046875,0.078125,156.25,40,86.27
layer1.0.conv1,conv,1,64,1,False,64.0,0,32.0,32.0,160000,5.941751779845932,7.4134377883226055,0.11583496544254071,12.084605390903963,0.18882195923287443,3.5116875265527323,0.05487011760238644,4.268507441318281,10,64,0.9511714148957653,64,12,17,28,45,0.1875,0.265625,0.4375,0.703125,2500.0,64.0,10000.0,1.3122269340482433,3.4525896191096255,0.0539467127985879,3.995696643540415,0.06243276005531898,2.6505756043760536,0.04141524381837584,5.333619425051191,10.0,64.0,0.9690991667578146,64.0,3.0,4.0,6.0,14.0,0.046875,0.0625,0.09375,0.21875,156.25,40,86.27
layer1.0.conv2,conv,2,64,1,False,64.0,0,32.0,32.0,160000,2.6004866540399294,11.162743624519422,0.17441786913311597,17.10657519434793,0.2672902374116864,5.049586690001159,0.07889979203126811,3.3172949361300517,10,64,0.9750310803641056,64,16,22,37,56,0.25,0.34375,0.578125,0.875,2500.0,64.0,10000.0,0.33886349067212,3.6190688421980997,0.05654795065934531,4.8285734533056015,0.07544646020790002,2.5867185974201443,0.040417478084689755,4.582471052134566,10.0,64.0,0.9753254902558454,64.0,4.0,5.0,12.0,25.0,0.0625,0.078125,0.1875,0.390625,156.25,40,86.27
layer1.0,block,3,64,1,False,,0,32.0,32.0,160000,2.988913751124419,10.956640265158349,0.1711975041430992,16.855646863773114,0.2633694822464549,5.635523397521607,0.0880550530862751,2.7225473123509563,10,64,0.7230259702379631,64,16,24,45,59,0.25,0.375,0.703125,0.921875,2500.0,64.0,10000.0,0.401221818929023,3.4237676934631573,0.053496370210361834,5.0242407749842695,0.07850376210912921,2.223209737677667,0.03473765215121355,3.3622126339433214,10.0,64.0,0.915220302229514,64.0,4.0,7.0,17.0,41.0,0.0625,0.109375,0.265625,0.640625,156.25,40,86.27
layer1.1.conv1,conv,4,64,1,False,64.0,0,32.0,32.0,160000,8.67266112451557,12.590239144051397,0.19672248662580308,18.563492348219736,0.29005456794093337,5.995349784751112,0.09367734038673613,3.512330174787906,10,64,0.972219282426938,64,17,22,37,55,0.265625,0.34375,0.578125,0.859375,2500.0,64.0,10000.0,0.5429204209968891,3.9117078637872456,0.06112043537167571,5.456955140537369,0.08526492407089639,2.659568249894581,0.04155575390460283,4.713729392387174,10.0,64.0,0.969699647244014,64.0,5.0,7.0,14.0,28.0,0.078125,0.109375,0.21875,0.4375,156.25,40,86.27
layer1.1.conv2,conv,5,64,1,False,64.0,0,32.0,32.0,160000,1.734295119751114,12.503538977192944,0.19536779651863975,19.57499687852597,0.30585932622696826,6.010784093678963,0.0939185014637338,2.7600756747407833,10,64,0.9649644471932232,64,19,27,44,60,0.296875,0.421875,0.6875,0.9375,2500.0,64.0,10000.0,0.06183882536162801,4.458068744977222,0.0696573241402691,6.606722881122768,0.10323004501754325,2.635354615704888,0.041177415870388874,4.292444032001593,10.0,64.0,0.9653072234638345,64.0,6.0,9.0,19.0,36.0,0.09375,0.140625,0.296875,0.5625,156.25,40,86.27
layer1.1,block,6,64,1,False,,0,32.0,32.0,160000,5.376437174043007,12.673493491119919,0.19802333579874873,20.75843341750302,0.3243505221484847,5.590039761826757,0.08734437127854308,2.197318583711217,10,64,0.9421030975778029,64,22,31,51,61,0.34375,0.484375,0.796875,0.953125,2500.0,64.0,10000.0,0.3807450499871563,4.294183148623338,0.06709661169723966,6.6266147577719705,0.10354085559018704,2.570216643307474,0.04015963505167928,3.0487779107241364,10.0,64.0,0.9812576441642435,64.0,6.0,10.0,23.0,47.0,0.09375,0.15625,0.359375,0.734375,156.25,40,86.27
layer1.2.conv1,conv,7,64,1,False,64.0,0,32.0,32.0,160000,15.305781326948393,11.237329585056255,0.17558327476650398,17.76867189385609,0.2776354983415014,5.15259437493142,0.08050928710830343,3.0237521239262017,10,64,0.9615287716456042,64,17,24,40,58,0.265625,0.375,0.625,0.90625,2500.0,64.0,10000.0,0.5048954566480984,3.840134619097854,0.060002103423403966,5.9369755041117775,0.09276524225174652,2.2385357394374097,0.034977120928709526,4.4097781728489815,10.0,64.0,0.9749220092244643,64.0,6.0,8.0,16.0,31.0,0.09375,0.125,0.25,0.484375,156.25,40,86.27
layer1.2.conv2,conv,8,64,1,False,64.0,0,32.0,32.0,160000,0.9936802511630863,11.720821574910161,0.18313783710797127,19.18356880500331,0.29974326257817674,5.532065452073665,0.08643852268865101,2.4220197431814947,10,64,0.9762557158940427,64,20,28,47,61,0.3125,0.4375,0.734375,0.953125,2500.0,64.0,10000.0,0.026244139132599518,3.6491942769098142,0.05701866057671585,5.754354279488257,0.08991178561700401,2.1798567457293943,0.034060261652021785,3.9209108712520218,10.0,64.0,0.9641788145533311,64.0,5.0,8.0,18.0,36.0,0.078125,0.125,0.28125,0.5625,156.25,40,86.27
layer1.2,block,9,64,1,False,,0,32.0,32.0,160000,8.325929541965898,12.924856406804455,0.2019508813563196,22.516968761732226,0.35182763690206603,5.250318199013133,0.0820362218595802,1.9739681719449156,10,64,0.9624835048217577,64,25,35,54,62,0.390625,0.546875,0.84375,0.96875,2500.0,64.0,10000.0,0.39372188713536527,4.862898202455225,0.0759827844133629,7.710315942781353,0.12047368660595864,2.7341031405148444,0.04272036157054444,2.962198208104157,10.0,64.0,0.9899211102043798,64.0,7.0,12.0,26.0,51.0,0.109375,0.1875,0.40625,0.796875,156.25,40,86.27
