layer,C,r_max,k_0.9,k_0.95,k_0.99,k_0.999
conv1,64,64.0,3,5,11,24
layer1.0.conv1,64,64.0,6,9,17,29
layer1.0.conv2,64,64.0,7,12,22,34
layer1.0.conv3,256,64.0,1,1,1,16
layer1.0.downsample.0,256,64.0,2,4,13,35
layer1.1.conv1,64,64.0,15,20,36,56
layer1.1.conv2,64,64.0,22,32,49,61
layer1.1.conv3,256,64.0,23,30,46,58
layer1.2.conv1,64,64.0,19,26,45,59
layer1.2.conv2,64,64.0,32,41,55,63
layer1.2.conv3,256,64.0,25,34,50,61
layer2.0.conv1,128,128.0,28,39,72,108
layer2.0.conv2,128,128.0,57,73,103,123
layer2.0.conv3,512,128.0,51,66,94,119
layer2.0.downsample.0,512,256.0,42,64,124,201
layer2.1.conv1,128,128.0,28,42,80,116
layer2.1.conv2,128,128.0,41,54,91,120
layer2.1.conv3,512,128.0,52,68,96,115
layer2.2.conv1,128,128.0,32,46,82,117
layer2.2.conv2,128,128.0,50,68,104,124
layer2.2.conv3,512,128.0,56,73,105,124
layer2.3.conv1,128,128.0,52,71,105,125
layer2.3.conv2,128,128.0,58,77,109,125
layer2.3.conv3,512,128.0,58,75,103,119
layer3.0.conv1,256,256.0,66,96,165,231
layer3.0.conv2,256,256.0,103,137,202,247
layer3.0.conv3,1024,256.0,101,133,199,245
layer3.0.downsample.0,1024,512.0,103,157,301,442
layer3.1.conv1,256,256.0,74,106,180,240
layer3.1.conv2,256,256.0,97,132,203,248
layer3.1.conv3,1024,256.0,104,140,201,236
layer3.2.conv1,256,256.0,74,108,183,239
layer3.2.conv2,256,256.0,102,142,212,249
layer3.2.conv3,1024,256.0,107,142,200,234
layer3.3.conv1,256,256.0,89,127,201,246
layer3.3.conv2,256,256.0,107,148,217,251
layer3.3.conv3,1024,256.0,113,149,207,241
layer3.4.conv1,256,256.0,110,151,218,251
layer3.4.conv2,256,256.0,120,160,223,252
layer3.4.conv3,1024,256.0,124,160,219,248
layer3.5.conv1,256,256.0,111,153,220,251
layer3.5.conv2,256,256.0,117,154,218,251
layer3.5.conv3,1024,256.0,122,158,219,250
layer4.0.conv1,512,512.0,163,240,386,486
layer4.0.conv2,512,512.0,190,261,399,493
layer4.0.conv3,2048,512.0,276,354,461,504
layer4.0.downsample.0,2048,1024.0,349,503,782,965
layer4.1.conv1,512,512.0,258,339,454,502
layer4.1.conv2,512,512.0,191,268,413,497
layer4.1.conv3,2048,512.0,266,341,445,492
layer4.2.conv1,512,512.0,246,332,447,498
layer4.2.conv2,512,512.0,188,253,387,488
layer4.2.conv3,2048,512.0,188,261,387,471
