setting,tau,top1,mean_k_over_C,mean_k_over_rmax,model,n_calib,n_eval
baseline,,77.28125,1.0,,timm:resnet50.a3_in1k,3200,3200
principal,0.9,0.15625,0.20492150648584906,0.27883623231132076,timm:resnet50.a3_in1k,3200,3200
random,0.9,0.0625,0.20492150648584906,0.27883623231132076,timm:resnet50.a3_in1k,3200,3200
principal,0.95,0.8125,0.29150390625,0.39585790094339623,timm:resnet50.a3_in1k,3200,3200
random,0.95,0.0625,0.29150390625,0.39585790094339623,timm:resnet50.a3_in1k,3200,3200
principal,0.99,33.5,0.48122420400943394,0.6517541273584906,timm:resnet50.a3_in1k,3200,3200
random,0.99,0.1875,0.48122420400943394,0.6517541273584906,timm:resnet50.a3_in1k,3200,3200
principal,0.999,75.59375,0.6421082694575472,0.8703751474056604,timm:resnet50.a3_in1k,3200,3200
random,0.999,0.09375,0.6421082694575472,0.8703751474056604,timm:resnet50.a3_in1k,3200,3200
