setting,tau,top1,mean_k_over_C,mean_k_over_rmax,model,n_calib,n_eval
baseline,,78.4375,1.0,,timm:resnet50.gluon_in1k,3200,3200
principal,0.9,0.0625,0.22062020931603774,0.30590359669811323,timm:resnet50.gluon_in1k,3200,3200
random,0.9,0.0625,0.22062020931603774,0.30590359669811323,timm:resnet50.gluon_in1k,3200,3200
principal,0.95,1.21875,0.30594044811320753,0.4219487028301887,timm:resnet50.gluon_in1k,3200,3200
random,0.95,0.0625,0.30594044811320753,0.4219487028301887,timm:resnet50.gluon_in1k,3200,3200
principal,0.99,73.28125,0.49240860849056606,0.6747494103773585,timm:resnet50.gluon_in1k,3200,3200
random,0.99,0.09375,0.49240860849056606,0.6747494103773585,timm:resnet50.gluon_in1k,3200,3200
principal,0.999,78.625,0.6490823997641509,0.8859448702830188,timm:resnet50.gluon_in1k,3200,3200
random,0.999,0.03125,0.6490823997641509,0.8859448702830188,timm:resnet50.gluon_in1k,3200,3200
