setting,tau,top1,mean_k_over_C,mean_k_over_rmax,model,n_calib,n_eval
baseline,,74.46875,1.0,,vgg16_bn,3200,3200
principal,0.9,30.8125,0.2666766826923077,0.2749120815527065,vgg16_bn,3200,3200
random,0.9,0.09375,0.2666766826923077,0.2749120815527065,vgg16_bn,3200,3200
principal,0.95,55.53125,0.3792067307692308,0.38744212962962965,vgg16_bn,3200,3200
random,0.95,0.09375,0.3792067307692308,0.38744212962962965,vgg16_bn,3200,3200
principal,0.99,72.90625,0.6254507211538461,0.6353331997863247,vgg16_bn,3200,3200
random,0.99,0.09375,0.6254507211538461,0.6353331997863247,vgg16_bn,3200,3200
principal,0.999,74.375,0.8284254807692307,0.8416021189458689,vgg16_bn,3200,3200
random,0.999,0.28125,0.8284254807692307,0.8416021189458689,vgg16_bn,3200,3200
