setting,tau,top1,mean_k_over_C,mean_k_over_rmax,model,n_calib,n_eval
baseline,,80.3125,1.0,,timm:resnet50.a1_in1k,3200,3200
principal,0.9,0.75,0.25569974459134615,0.35657677283653844,timm:resnet50.a1_in1k,3200,3200
random,0.9,0.09375,0.25569974459134615,0.35657677283653844,timm:resnet50.a1_in1k,3200,3200
principal,0.95,9.0625,0.35033240685096156,0.484130859375,timm:resnet50.a1_in1k,3200,3200
random,0.95,0.09375,0.35033240685096156,0.484130859375,timm:resnet50.a1_in1k,3200,3200
principal,0.99,53.5,0.5358229417067307,0.7294546274038461,timm:resnet50.a1_in1k,3200,3200
random,0.99,0.125,0.5358229417067307,0.7294546274038461,timm:resnet50.a1_in1k,3200,3200
principal,0.999,78.5625,0.6707481971153846,0.9073580228365384,timm:resnet50.a1_in1k,3200,3200
random,0.999,0.09375,0.6707481971153846,0.9073580228365384,timm:resnet50.a1_in1k,3200,3200
