setting,tau,top1,mean_k_over_C,mean_k_over_rmax,model,n_calib,n_eval
baseline,,80.3125,1.0,,timm:resnet50.a1_in1k,3200,3200
principal,0.9,0.15625,0.25094892393867924,0.35014372051886794,timm:resnet50.a1_in1k,3200,3200
random,0.9,0.15625,0.25094892393867924,0.35014372051886794,timm:resnet50.a1_in1k,3200,3200
principal,0.95,0.34375,0.34379606426886794,0.4752911261792453,timm:resnet50.a1_in1k,3200,3200
random,0.95,0.0625,0.34379606426886794,0.4752911261792453,timm:resnet50.a1_in1k,3200,3200
principal,0.99,11.0,0.5257867777122641,0.7159861438679245,timm:resnet50.a1_in1k,3200,3200
random,0.99,0.0625,0.5257867777122641,0.7159861438679245,timm:resnet50.a1_in1k,3200,3200
principal,0.999,78.5625,0.6592718160377359,0.8949550412735849,timm:resnet50.a1_in1k,3200,3200
random,0.999,0.15625,0.6592718160377359,0.8949550412735849,timm:resnet50.a1_in1k,3200,3200
