layer,C,r_max,k_0.9,k_0.95,k_0.99,k_0.999
conv1,64,64.0,6,10,19,31
layer1.0.conv1,64,64.0,8,11,18,32
layer1.0.conv2,64,64.0,11,15,25,46
layer1.0.conv3,256,64.0,6,10,18,29
layer1.0.downsample.0,256,64.0,8,11,23,41
layer1.1.conv1,64,64.0,10,15,28,45
layer1.1.conv2,64,64.0,25,33,49,61
layer1.1.conv3,256,64.0,19,24,39,56
layer1.2.conv1,64,64.0,13,19,34,54
layer1.2.conv2,64,64.0,25,33,51,62
layer1.2.conv3,256,64.0,25,32,47,60
layer2.0.conv1,128,128.0,24,32,56,93
layer2.0.conv2,128,128.0,44,59,94,122
layer2.0.conv3,512,128.0,39,52,82,115
layer2.0.downsample.0,512,256.0,22,33,64,128
layer2.1.conv1,128,128.0,8,13,28,63
layer2.1.conv2,128,128.0,21,26,45,85
layer2.1.conv3,512,128.0,18,24,42,77
layer2.2.conv1,128,128.0,29,39,68,107
layer2.2.conv2,128,128.0,44,60,94,122
layer2.2.conv3,512,128.0,39,52,86,118
layer2.3.conv1,128,128.0,34,47,82,117
layer2.3.conv2,128,128.0,54,72,107,125
layer2.3.conv3,512,128.0,52,68,100,123
layer3.0.conv1,256,256.0,55,80,145,220
layer3.0.conv2,256,256.0,80,112,188,244
layer3.0.conv3,1024,256.0,68,91,156,228
layer3.0.downsample.0,1024,512.0,69,105,215,386
layer3.1.conv1,256,256.0,49,67,119,201
layer3.1.conv2,256,256.0,72,101,176,240
layer3.1.conv3,1024,256.0,76,109,183,239
layer3.2.conv1,256,256.0,51,75,143,224
layer3.2.conv2,256,256.0,78,112,188,244
layer3.2.conv3,1024,256.0,83,116,189,243
layer3.3.conv1,256,256.0,71,102,175,239
layer3.3.conv2,256,256.0,99,137,209,249
layer3.3.conv3,1024,256.0,92,128,201,247
layer3.4.conv1,256,256.0,83,118,192,244
layer3.4.conv2,256,256.0,99,138,211,250
layer3.4.conv3,1024,256.0,91,128,201,247
layer3.5.conv1,256,256.0,94,132,206,248
layer3.5.conv2,256,256.0,90,129,206,249
layer3.5.conv3,1024,256.0,72,108,187,243
layer4.0.conv1,512,512.0,144,216,366,480
layer4.0.conv2,512,512.0,160,236,401,496
layer4.0.conv3,2048,512.0,178,245,394,492
layer4.0.downsample.0,2048,1024.0,266,393,686,939
layer4.1.conv1,512,512.0,139,189,320,465
layer4.1.conv2,512,512.0,190,270,419,499
layer4.1.conv3,2048,512.0,223,297,428,499
layer4.2.conv1,512,512.0,186,242,369,482
layer4.2.conv2,512,512.0,173,232,371,484
layer4.2.conv3,2048,512.0,187,233,353,476
