setting,tau,top1,mean_k_over_C,mean_k_over_rmax,model,n_calib,n_eval
baseline,,70.1875,1.0,,resnet18,3200,3200
principal,0.9,23.84375,0.33759765625,0.36240234375,resnet18,3200,3200
random,0.9,0.15625,0.33759765625,0.36240234375,resnet18,3200,3200
principal,0.95,49.0625,0.46103515625,0.4958984375,resnet18,3200,3200
random,0.95,0.0625,0.46103515625,0.4958984375,resnet18,3200,3200
principal,0.99,67.5625,0.69697265625,0.7517578125,resnet18,3200,3200
random,0.99,0.0,0.69697265625,0.7517578125,resnet18,3200,3200
principal,0.999,69.84375,0.8611328125,0.931640625,resnet18,3200,3200
random,0.999,2.03125,0.8611328125,0.931640625,resnet18,3200,3200
