setting,tau,top1,mean_k_over_C,mean_k_over_rmax,model,n_calib,n_eval
baseline,,80.03125,1.0,,timm:resnet50.fb_ssl_yfcc100m_ft_in1k,3200,3200
principal,0.9,0.40625,0.24198481721698112,0.3348688089622642,timm:resnet50.fb_ssl_yfcc100m_ft_in1k,3200,3200
random,0.9,0.125,0.24198481721698112,0.3348688089622642,timm:resnet50.fb_ssl_yfcc100m_ft_in1k,3200,3200
principal,0.95,6.5625,0.33718123525943394,0.4644752358490566,timm:resnet50.fb_ssl_yfcc100m_ft_in1k,3200,3200
random,0.95,0.03125,0.33718123525943394,0.4644752358490566,timm:resnet50.fb_ssl_yfcc100m_ft_in1k,3200,3200
principal,0.99,76.90625,0.5302826503537735,0.7258254716981132,timm:resnet50.fb_ssl_yfcc100m_ft_in1k,3200,3200
random,0.99,0.15625,0.5302826503537735,0.7258254716981132,timm:resnet50.fb_ssl_yfcc100m_ft_in1k,3200,3200
principal,0.999,80.21875,0.6722435141509434,0.91796875,timm:resnet50.fb_ssl_yfcc100m_ft_in1k,3200,3200
random,0.999,0.0625,0.6722435141509434,0.91796875,timm:resnet50.fb_ssl_yfcc100m_ft_in1k,3200,3200
