layer,kind,depth_index,C,groups,is_depthwise,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
layer1.0.conv1,conv,2,64,1,False,0,56,56,2048,32.74505817063172,6.515680387269501,0.10180750605108595,12.157859426470576,0.18996655353860276,2.970214749893837,0.046409605467091206,3.0663968551463534,10,64,0.9696496371437879,64,13,19,35,55,0.203125,0.296875,0.546875,0.859375,25,resnet18
layer1.0.conv1,conv,2,64,1,False,0,56,56,4096,32.998025523830584,6.424418014262922,0.10038153147285815,12.192955712789583,0.19051493301233724,2.9270437252551944,0.04573505820711241,3.0738407786563684,10,64,0.9727278021886715,64,14,19,36,56,0.21875,0.296875,0.5625,0.875,50,resnet18
layer1.0.conv1,conv,2,64,1,False,0,56,56,7168,35.059097583372285,6.528666685808993,0.10201041696576552,12.367995480719895,0.19324992938624835,2.9556016742846154,0.046181276160697116,3.0833881382672494,10,64,0.9735879518963566,64,14,19,36,56,0.21875,0.296875,0.5625,0.875,100,resnet18
layer1.0.conv1,conv,2,64,1,False,0,56,56,16384,37.39512856993909,6.479363245348338,0.10124005070856779,12.2356857215674,0.19118258939949062,2.950882940430952,0.04610754594423362,3.073510537329789,10,64,0.9726073751937828,64,14,19,36,56,0.21875,0.296875,0.5625,0.875,250,resnet18
layer1.0.relu,act,3,64,1,False,0,56,56,1024,0.9033954364929497,17.987748606960636,0.28105857198375994,30.37411077084778,0.47459548079449654,6.663554238614868,0.10411803497835731,1.8223291735061258,10,64,0.9588617251219507,64,32,42,57,63,0.5,0.65625,0.890625,0.984375,1,resnet18
layer1.0.relu,act,3,64,1,False,0,56,56,1024,0.9033954364929497,17.987748606960636,0.28105857198375994,30.37411077084778,0.47459548079449654,6.663554238614868,0.10411803497835731,1.8223291735061258,10,64,0.9588617251219507,64,32,42,57,63,0.5,0.65625,0.890625,0.984375,2,resnet18
layer1.0.relu,act,3,64,1,False,0,56,56,1024,0.9033954364929497,17.987748606960636,0.28105857198375994,30.37411077084778,0.47459548079449654,6.663554238614868,0.10411803497835731,1.8223291735061258,10,64,0.9588617251219507,64,32,42,57,63,0.5,0.65625,0.890625,0.984375,5,resnet18
layer1.0.relu,act,3,64,1,False,0,56,56,1024,0.9033954364929497,17.987748606960636,0.28105857198375994,30.37411077084778,0.47459548079449654,6.663554238614868,0.10411803497835731,1.8223291735061258,10,64,0.9588617251219507,64,32,42,57,63,0.5,0.65625,0.890625,0.984375,10,resnet18
layer1.0.relu,act,3,64,1,False,0,56,56,2048,0.9772944002798118,18.320201726898507,0.28625315198278917,30.95296004584725,0.48364000071636326,7.021746191823882,0.10971478424724816,1.7317300079190354,10,64,0.9611106289117949,64,33,43,57,64,0.515625,0.671875,0.890625,1.0,25,resnet18
layer1.0.relu,act,3,64,1,False,0,56,56,4096,0.9929694290266187,18.918427827748715,0.2956004348085737,31.55471728734985,0.4930424576148414,7.247644491546493,0.11324444518041395,1.7174286525799602,10,64,0.9681970452994281,64,33,44,58,64,0.515625,0.6875,0.90625,1.0,50,resnet18
layer1.0.relu,act,3,64,1,False,0,56,56,7168,1.029837884307092,19.318303349486552,0.3018484898357274,31.82019875808721,0.49719060559511263,7.476776119763404,0.11682462687130318,1.7130311622926093,10,64,0.9698707675273562,64,34,44,58,64,0.53125,0.6875,0.90625,1.0,100,resnet18
layer1.0.relu,act,3,64,1,False,0,56,56,16384,1.0695309841160894,19.62669699387802,0.3066671405293441,32.12491220659607,0.5019517532280636,7.511195694863055,0.11736243273223523,1.7032712249190256,10,64,0.9689608306698488,64,34,44,58,64,0.53125,0.6875,0.90625,1.0,250,resnet18
layer1.0.conv2,conv,4,64,1,False,0,56,56,1024,5.615668413343085,6.597939894036049,0.10309281084431327,14.188739319863089,0.22169905187286076,2.8823588999592,0.0450368578118625,2.572933033290509,10,64,0.9596145794273234,64,17,26,45,60,0.265625,0.40625,0.703125,0.9375,1,resnet18
layer1.0.conv2,conv,4,64,1,False,0,56,56,1024,5.615668413343085,6.597939894036049,0.10309281084431327,14.188739319863089,0.22169905187286076,2.8823588999592,0.0450368578118625,2.572933033290509,10,64,0.9596145794273234,64,17,26,45,60,0.265625,0.40625,0.703125,0.9375,2,resnet18
layer1.0.conv2,conv,4,64,1,False,0,56,56,1024,5.615668413343085,6.597939894036049,0.10309281084431327,14.188739319863089,0.22169905187286076,2.8823588999592,0.0450368578118625,2.572933033290509,10,64,0.9596145794273234,64,17,26,45,60,0.265625,0.40625,0.703125,0.9375,5,resnet18
layer1.0.conv2,conv,4,64,1,False,0,56,56,1024,5.615668413343085,6.597939894036049,0.10309281084431327,14.188739319863089,0.22169905187286076,2.8823588999592,0.0450368578118625,2.572933033290509,10,64,0.9596145794273234,64,17,26,45,60,0.265625,0.40625,0.703125,0.9375,10,resnet18
layer1.0.conv2,conv,4,64,1,False,0,56,56,2048,6.066130335387168,6.5281941659838125,0.10200303384349707,14.131373880362647,0.22080271688066636,2.8610178049988235,0.04470340320310662,2.5069195073393837,10,64,0.9625714051695152,64,18,26,45,60,0.28125,0.40625,0.703125,0.9375,25,resnet18
layer1.0.conv2,conv,4,64,1,False,0,56,56,4096,6.075238863364666,6.878194639584762,0.1074717912435119,14.64780580080092,0.22887196563751439,2.9689834449896417,0.04639036632796315,2.504226977954417,10,64,0.9666373185365298,64,18,26,45,60,0.28125,0.40625,0.703125,0.9375,50,resnet18
layer1.0.conv2,conv,4,64,1,False,0,56,56,7168,6.1134435733611605,7.109357997752454,0.1110837187148821,14.98744340320516,0.23417880317508064,3.0433808036908756,0.04755282505766993,2.489868574189005,10,64,0.9655552967975733,64,18,27,46,60,0.28125,0.421875,0.71875,0.9375,100,resnet18
layer1.0.conv2,conv,4,64,1,False,0,56,56,16384,6.257059677882028,7.286029604479089,0.11384421256998577,15.16017362879336,0.23687771294989626,3.112208093678885,0.04862825146373258,2.477525759497143,10,64,0.9653035208623078,64,18,27,46,60,0.28125,0.421875,0.71875,0.9375,250,resnet18
layer1.0.relu,act,5,64,1,False,1,56,56,1024,5.570229065150226,22.665185257976898,0.354143519655889,32.67596295718358,0.5105619212059934,9.737846734982824,0.15215385523410663,1.9413489459202016,10,64,0.9474062906466828,64,32,41,56,63,0.5,0.640625,0.875,0.984375,1,resnet18
layer1.0.relu,act,5,64,1,False,1,56,56,1024,5.570229065150226,22.665185257976898,0.354143519655889,32.67596295718358,0.5105619212059934,9.737846734982824,0.15215385523410663,1.9413489459202016,10,64,0.9474062906466828,64,32,41,56,63,0.5,0.640625,0.875,0.984375,2,resnet18
layer1.0.relu,act,5,64,1,False,1,56,56,1024,5.570229065150226,22.665185257976898,0.354143519655889,32.67596295718358,0.5105619212059934,9.737846734982824,0.15215385523410663,1.9413489459202016,10,64,0.9474062906466828,64,32,41,56,63,0.5,0.640625,0.875,0.984375,5,resnet18
layer1.0.relu,act,5,64,1,False,1,56,56,1024,5.570229065150226,22.665185257976898,0.354143519655889,32.67596295718358,0.5105619212059934,9.737846734982824,0.15215385523410663,1.9413489459202016,10,64,0.9474062906466828,64,32,41,56,63,0.5,0.640625,0.875,0.984375,10,resnet18
layer1.0.relu,act,5,64,1,False,1,56,56,2048,6.119039275119831,23.008601729261446,0.3595094020197101,33.085242246480746,0.5169569101012617,10.09825263751463,0.1577851974611661,1.8891988712427905,10,64,0.9450958866805749,64,32,42,56,63,0.5,0.65625,0.875,0.984375,25,resnet18
layer1.0.relu,act,5,64,1,False,1,56,56,4096,6.282267618314064,23.476217496748944,0.36681589838670225,33.67763069033449,0.5262129795364764,10.122397344726695,0.1581624585113546,1.84547364837081,10,64,0.9481984134988375,64,33,43,57,63,0.515625,0.671875,0.890625,0.984375,50,resnet18
layer1.0.relu,act,5,64,1,False,1,56,56,7168,6.451696584770425,23.857537554159418,0.3727740242837409,34.04932143778694,0.532020647465421,10.316442553161034,0.16119441489314115,1.8303371747528734,10,64,0.9479096579249239,64,33,43,57,63,0.515625,0.671875,0.890625,0.984375,100,resnet18
layer1.0.relu,act,5,64,1,False,1,56,56,16384,6.620124048073265,23.761450339801524,0.3712726615593988,33.96191514616835,0.5306549241588805,10.395526735843369,0.16243010524755264,1.825061781259554,10,64,0.9481556242118597,64,33,43,57,63,0.515625,0.671875,0.890625,0.984375,250,resnet18
layer1.1.conv1,conv,6,64,1,False,0,56,56,1024,27.046536591978253,16.15755595366129,0.25246181177595767,25.8778003542044,0.40434063053444375,6.368707249041605,0.09951105076627507,2.445620905231979,10,64,0.9523323988806739,64,25,33,51,62,0.390625,0.515625,0.796875,0.96875,1,resnet18
layer1.1.conv1,conv,6,64,1,False,0,56,56,1024,27.046536591978253,16.15755595366129,0.25246181177595767,25.8778003542044,0.40434063053444375,6.368707249041605,0.09951105076627507,2.445620905231979,10,64,0.9523323988806739,64,25,33,51,62,0.390625,0.515625,0.796875,0.96875,2,resnet18
layer1.1.conv1,conv,6,64,1,False,0,56,56,1024,27.046536591978253,16.15755595366129,0.25246181177595767,25.8778003542044,0.40434063053444375,6.368707249041605,0.09951105076627507,2.445620905231979,10,64,0.9523323988806739,64,25,33,51,62,0.390625,0.515625,0.796875,0.96875,5,resnet18
layer1.1.conv1,conv,6,64,1,False,0,56,56,1024,27.046536591978253,16.15755595366129,0.25246181177595767,25.8778003542044,0.40434063053444375,6.368707249041605,0.09951105076627507,2.445620905231979,10,64,0.9523323988806739,64,25,33,51,62,0.390625,0.515625,0.796875,0.96875,10,resnet18
layer1.1.conv1,conv,6,64,1,False,0,56,56,2048,28.04561510719327,16.34083758958322,0.2553255873372378,26.198052304256986,0.4093445672540154,6.3650317660177755,0.09945362134402774,2.4215479439740046,10,64,0.9516862500020602,64,26,34,51,62,0.40625,0.53125,0.796875,0.96875,25,resnet18
layer1.1.conv1,conv,6,64,1,False,0,56,56,4096,28.882354879693388,16.644705704321705,0.26007352663002664,26.467623496521053,0.41355661713314146,6.51211777512164,0.10175184023627562,2.4049520372868427,10,64,0.9523091635366574,64,26,34,51,62,0.40625,0.53125,0.796875,0.96875,50,resnet18
layer1.1.conv1,conv,6,64,1,False,0,56,56,7168,29.753383854185145,16.809742573660383,0.2626522277134435,26.721620468596782,0.4175253198218247,6.4943932502901776,0.10147489453578402,2.3940045577796285,10,64,0.9521449245820853,64,26,34,51,62,0.40625,0.53125,0.796875,0.96875,100,resnet18
layer1.1.conv1,conv,6,64,1,False,0,56,56,16384,30.598763803635652,16.858853300076827,0.2634195828137004,26.81661353116221,0.41900958642440955,6.518405396414811,0.10185008431898142,2.388294300821876,10,64,0.9506910126562594,64,26,34,51,62,0.40625,0.53125,0.796875,0.96875,250,resnet18
