layer,kind,depth_index,C,groups,is_depthwise,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok,r_max,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C
layer1.1.relu,act,10,64,1,False,0,56,56,800000,3.684196650111199,3.306780209599108,0.051668440774986,7.381045637406854,0.115328838084482,1.9257148934069632,0.0300892952094838,3.148925549361437,10,64,0.68890052163353,64,12,22,40,54,0.1875,0.34375,0.625,0.84375,resnet50_random,random_init,imagenet_val[50000],12500.0,True,50000,0.8872444872679472,2.5093848130554464,0.0392091377039913,3.7299858262610543,0.0582810285353289,1.7210155487380103,0.0268908679490314,4.160329276662607,10,64,0.7740621834839997,64,3,5,12,33,0.046875,0.078125,0.1875,0.515625,781.25,True,,,,,,
layer1.1.conv2,conv,11,64,1,False,0,56,56,800000,7.722016296034999,3.780416590942934,0.0590690092334833,8.890312508595715,0.138911132946808,2.1164597282297684,0.0330696832535901,1.3487636117352992,10,64,0.9750807105823274,64,17,31,53,63,0.265625,0.484375,0.828125,0.984375,resnet50_random,random_init,imagenet_val[50000],12500.0,True,50000,1.8604823224474167,2.5446887016657933,0.039760760963528,3.502899144370235,0.0547327991307849,1.7951011140646496,0.0280484549072601,4.377368016163791,10,64,0.9358344845916784,64,3,4,10,26,0.046875,0.0625,0.15625,0.40625,781.25,True,64.0,0.265625,0.484375,0.828125,0.984375,1.0
layer1.1.relu,act,12,64,1,False,1,56,56,800000,2.623975983857572,4.115068332583968,0.0642979426966245,9.279916164580229,0.144998690071566,2.238712151765697,0.034979877371339,4.110736881715211,10,64,0.548445845046537,64,16,26,41,52,0.25,0.40625,0.640625,0.8125,resnet50_random,random_init,imagenet_val[50000],12500.0,True,50000,0.620221575879677,2.622198706843621,0.0409718547944315,3.6228428505983192,0.0566069195405987,1.8703571888363424,0.0292243310755678,5.675070809480875,10,64,0.6440013325963967,64,3,4,12,30,0.046875,0.0625,0.1875,0.46875,781.25,True,,,,,,
layer1.1.conv3,conv,13,256,1,False,0,56,56,800000,5.547163244878226,3.896970574066695,0.015222541304948,8.505646117395422,0.0332251801460758,2.1726317104262005,0.0084868426188523,11.27386358564008,10,256,0.8476835458381144,159,14,23,39,51,0.0546875,0.08984375,0.15234375,0.19921875,resnet50_random,random_init,imagenet_val[50000],3125.0,True,50000,1.3280766571364029,2.5289961657055477,0.0098788912722872,3.4589578190113555,0.0135115539805131,1.8249154368573948,0.0071285759252241,9.644837669007334,10,256,0.8907772904344535,158,3,4,11,28,0.01171875,0.015625,0.04296875,0.109375,195.3125,True,64.0,0.21875,0.359375,0.609375,0.796875,0.25
layer1.1.relu,act,14,256,1,False,2,56,56,800000,6.37626305768628,4.216659875300859,0.0164713276378939,11.93058572241916,0.0466038504781998,2.233817852495364,0.00872585098631,2.242158764107462,10,256,0.7083347727885108,256,25,52,137,213,0.09765625,0.203125,0.53515625,0.83203125,resnet50_random,random_init,imagenet_val[50000],3125.0,True,50000,1.574140816372148,2.664954748926481,0.010409979487994,3.9967220761391657,0.0156121956099186,1.8084946222708795,0.0070644321182456,3.15336981012095,10,256,0.7973628836459186,256,4,5,14,60,0.015625,0.01953125,0.0546875,0.234375,195.3125,True,,,,,,
layer1.2.conv1,conv,15,64,1,False,0,56,56,800000,13.490444161504993,3.885249334437068,0.0607070208505791,8.834606452011466,0.1380407258126791,2.1508110348026537,0.0336064224187914,1.9067707060113537,10,64,0.9526008064231892,64,15,25,47,61,0.234375,0.390625,0.734375,0.953125,resnet50_random,random_init,imagenet_val[50000],12500.0,True,50000,3.4060173504346656,2.6193220059177507,0.0409269063424648,3.8028350378186384,0.0594192974659162,1.800487810222668,0.0281326220347291,3.060630276503156,10,64,0.9885097505822026,64,4,5,12,34,0.0625,0.078125,0.1875,0.53125,781.25,True,64.0,0.234375,0.390625,0.734375,0.953125,1.0
layer1.2.relu,act,16,64,1,False,0,56,56,800000,7.29709887542655,2.7667419013293704,0.0432303422082714,6.204652410850598,0.0969476939195406,1.7195800935579022,0.0268684389618422,4.809487603955209,10,64,0.5892705247298329,64,11,19,35,47,0.171875,0.296875,0.546875,0.734375,resnet50_random,random_init,imagenet_val[50000],12500.0,True,50000,1.9159387854104384,2.0247095395433385,0.0316360865553646,3.0407964079225143,0.0475124438737892,1.482481030918801,0.0231637661081062,6.242262016958766,10,64,0.6396130981583035,64,3,4,11,28,0.046875,0.0625,0.171875,0.4375,781.25,True,,,,,,
layer1.2.conv2,conv,17,64,1,False,0,56,56,800000,15.209057236622783,3.287641548134475,0.0513693991896011,8.058023509435204,0.125906617334925,1.9045322124061632,0.0297583158188463,1.4669496937166449,10,64,0.977797862081256,64,16,29,52,63,0.25,0.453125,0.8125,0.984375,resnet50_random,random_init,imagenet_val[50000],12500.0,True,50000,3.7256747264935752,2.0354230574081704,0.0318034852720026,2.973054757070071,0.0464539805792198,1.501828956184846,0.0234660774403882,4.681533089754733,10,64,0.9507652732882078,64,3,4,9,24,0.046875,0.0625,0.140625,0.375,781.25,True,64.0,0.25,0.453125,0.8125,0.984375,1.0
layer1.2.relu,act,18,64,1,False,1,56,56,800000,8.712965772856807,2.760588458209252,0.0431341946595195,6.366217835300085,0.0994721536765638,1.7167335145758198,0.0268239611652471,4.296178480492004,10,64,0.6449938926628496,64,12,21,37,48,0.1875,0.328125,0.578125,0.75,resnet50_random,random_init,imagenet_val[50000],12500.0,True,50000,2.2059657130517047,1.8247110911498132,0.0285111107992158,2.6673869925214078,0.0416779217581469,1.3973938897958158,0.0218342795280596,5.966816008244092,10,64,0.7591329394028307,64,3,4,9,23,0.046875,0.0625,0.140625,0.359375,781.25,True,,,,,,
layer1.2.conv3,conv,19,256,1,False,0,56,56,800000,19.199852903209525,2.487101473080605,0.0097152401292211,5.500241820380457,0.0214853196108611,1.6195020123136867,0.0063261797356003,11.05226052978365,10,256,0.8633177827708606,156,10,18,34,47,0.0390625,0.0703125,0.1328125,0.18359375,resnet50_random,random_init,imagenet_val[50000],3125.0,True,50000,5.008253212525797,1.7189954721658431,0.0067148260631478,2.47063065462029,0.0096509009946105,1.3480029295194498,0.0052656364434353,9.175873480047857,10,256,0.9188508569278486,159,2,4,8,21,0.0078125,0.015625,0.03125,0.08203125,195.3125,True,64.0,0.15625,0.28125,0.53125,0.734375,0.25
