layer,kind,depth_index,C,groups,is_depthwise,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok,r_max,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C
layer2.0.conv1,conv,10,128,1,False,0,28,28,800000,89.50505974989144,33.444698630970414,0.2612867080544563,47.90472012305512,0.3742556259613681,16.0618742000336,0.1254833921877625,2.4675741611730317,10,128,0.9338396640622496,128,43,58,90,119,0.3359375,0.453125,0.703125,0.9296875,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],6250.0,True,50000,1.7264584872022493,7.445411130279493,0.0581672744553085,13.235135104822312,0.1033994930064243,3.491070814608251,0.0272739907391269,3.860879513366936,10,128,0.9427806144039476,128,14,21,42,74,0.109375,0.1640625,0.328125,0.578125,390.625,True,128.0,0.3359375,0.453125,0.703125,0.9296875,1.0
layer2.0.relu,act,11,128,1,False,0,28,28,800000,3.730922388143577,56.219143710240026,0.4392120602362502,81.39978786405841,0.6359358426879563,22.015362070726727,0.1719950161775525,1.082171412789326,10,128,0.9858748104231256,128,85,103,122,128,0.6640625,0.8046875,0.953125,1.0,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],6250.0,True,50000,0.0871494316849491,6.985185565372468,0.0545717622294724,17.522899491915652,0.136897652280591,2.9836465774260064,0.0233097388861406,1.8907245194846296,10,128,0.9935968704064132,128,25,43,91,123,0.1953125,0.3359375,0.7109375,0.9609375,390.625,True,,,,,,
layer2.0.conv2,conv,12,128,1,False,0,28,28,800000,10.35645266656262,29.249428501810545,0.2285111601703948,53.20712875368108,0.4156806933881334,8.455047887395693,0.0660550616202788,1.728501199951702,10,128,0.9495199261675014,128,57,76,109,126,0.4453125,0.59375,0.8515625,0.984375,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],6250.0,True,50000,0.7849883374578956,6.253211036372181,0.0488532112216576,11.823537946825192,0.0923713902095718,3.046522997046031,0.0238009609144221,3.875516929748588,10,128,0.9675883388442446,128,14,19,38,70,0.109375,0.1484375,0.296875,0.546875,390.625,True,128.0,0.4453125,0.59375,0.8515625,0.984375,1.0
layer2.0.downsample.0,conv,13,128,1,False,0,28,28,800000,9.772611658003282,15.955606530446856,0.124653176019116,23.120260534820822,0.1806270354282876,7.429579828351471,0.0580435924089958,12.33680785490857,10,128,0.6474684084614968,93,21,28,44,59,0.1640625,0.21875,0.34375,0.4609375,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],6250.0,True,50000,1.0210891213827944,6.506792863928321,0.05083431924944,10.115129342899875,0.0790244479914052,3.093327070051845,0.02416661773478,11.970188147391646,10,128,0.7298322492661253,94,9,12,21,41,0.0703125,0.09375,0.1640625,0.3203125,390.625,True,64.0,0.328125,0.4375,0.6875,0.921875,0.5
layer2.0.relu,act,14,128,1,False,1,28,28,800000,8.855733357910854,47.64599360117465,0.3722343250091769,74.44899017915114,0.5816327357746183,16.25207728842916,0.1269693538158528,1.1728047093120373,10,128,0.980425591521497,128,80,99,121,128,0.625,0.7734375,0.9453125,1.0,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],6250.0,True,50000,0.6291811222770876,13.625068857038228,0.1064458504456111,24.25223973756988,0.1894706229497646,5.902144027234623,0.0461105002127704,2.376145695848258,10,128,0.9863132527559256,128,25,39,78,118,0.1953125,0.3046875,0.609375,0.921875,390.625,True,,,,,,
layer2.1.conv1,conv,15,128,1,False,0,28,28,800000,30.749748292211827,37.00634924885624,0.2891121035066893,58.8625020615121,0.4598632973555633,12.571906799264488,0.0982180218692538,1.7037231644504665,10,128,0.953075215025749,128,59,79,111,126,0.4609375,0.6171875,0.8671875,0.984375,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],6250.0,True,50000,1.4394007408879652,7.599373901316574,0.0593701086040357,14.54449220540707,0.1136288453547427,3.5398274909325584,0.0276549022729106,3.0099939368353605,10,128,0.9444222720741516,128,16,26,56,96,0.125,0.203125,0.4375,0.75,390.625,True,128.0,0.4609375,0.6171875,0.8671875,0.984375,1.0
layer2.1.relu,act,16,128,1,False,0,28,28,800000,2.0841200492757204,69.01795486668377,0.5392027723959669,94.86193972072624,0.7411089040681736,24.17537302697952,0.1888701017732774,0.8059556622761408,10,128,0.9547331979809516,128,95,109,123,128,0.7421875,0.8515625,0.9609375,1.0,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],6250.0,True,50000,0.0480768037113612,15.28390454848159,0.1194055042850124,32.29392164073284,0.2522962628182253,6.427337537294031,0.0502135745101096,1.5296911496047128,10,128,0.9901184058742094,128,45,69,109,126,0.3515625,0.5390625,0.8515625,0.984375,390.625,True,,,,,,
layer2.1.conv2,conv,17,128,1,False,0,28,28,800000,4.492842491830773,27.724477996365568,0.216597484346606,56.666985991998686,0.4427108280624897,7.220234288869367,0.0564080803817919,1.469969115854504,10,128,0.9441051296993596,128,65,85,114,127,0.5078125,0.6640625,0.890625,0.9921875,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],6250.0,True,50000,0.1800111043564018,9.103502717305846,0.0711211149789519,18.738069879269,0.146391170931789,3.8881488806338975,0.0303761631299523,3.009108011160343,10,128,0.8941053546682454,128,23,36,66,99,0.1796875,0.28125,0.515625,0.7734375,390.625,True,128.0,0.5078125,0.6640625,0.890625,0.9921875,1.0
layer2.1.relu,act,18,128,1,False,1,28,28,800000,10.73224253445654,57.21454953093483,0.4469886682104284,85.73342035337252,0.6697923465107228,16.5616695124671,0.1293880430661492,0.9671241723045936,10,128,0.9771498481949128,128,89,106,123,128,0.6953125,0.828125,0.9609375,1.0,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],6250.0,True,50000,0.5061525889368008,15.913751342387654,0.1243261823624035,32.49272413730626,0.2538494073227051,6.06447194835098,0.047378687096492,1.8690015265913928,10,128,0.9814776255666776,128,39,60,101,124,0.3046875,0.46875,0.7890625,0.96875,390.625,True,,,,,,
layer3.0.conv1,conv,19,256,1,False,0,14,14,800000,68.4697797722464,39.29553285190629,0.1534981752027589,68.87332479155559,0.269036424967014,14.133805483810976,0.0552101776711366,2.1700193182291616,10,256,0.9418787981629312,256,71,101,173,237,0.27734375,0.39453125,0.67578125,0.92578125,resnet18,ResNet18_Weights.IMAGENET1K_V1,imagenet_val[50000],3125.0,True,50000,7.520447282316494,15.005580982213036,0.0586155507117696,26.084845822846518,0.1018939289954942,6.670185768250616,0.0260554131572289,3.7852237635423154,10,256,0.9550114674329336,256,26,38,72,124,0.1015625,0.1484375,0.28125,0.484375,195.3125,True,256.0,0.27734375,0.39453125,0.67578125,0.92578125,1.0
