layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
features.0.0,conv,0,32,1,False,27.0,0,32.0,32.0,160000,24.437997983233796,2.7834065964362127,0.08698145613863165,4.068403866357838,0.12713762082368243,1.7868434805189954,0.05583885876621861,18.480664376381377,10,32,0.9291700316895471,29,5,5,8,11,0.15625,0.15625,0.25,0.34375,5000.0,32.0,10000.0,6.803586333185816,2.2710883061387404,0.07097150956683564,2.582701869756268,0.08070943342988338,1.699695049468008,0.05311547029587525,16.010176750508904,10.0,32.0,0.9766222385297005,24.0,3.0,3.0,3.0,4.0,0.09375,0.09375,0.09375,0.125,312.5,40,82.52
features.1.conv.0.0,conv,1,32,32,True,32.0,0,32.0,32.0,160000,0.7081438460931735,6.9208836035703065,0.21627761261157208,8.89758285015284,0.27804946406727626,4.189390981692348,0.13091846817788588,41.455350990678554,10,32,0.3272761749617684,28,8,10,14,18,0.25,0.3125,0.4375,0.5625,5000.0,32.0,10000.0,0.1159876736272453,2.7410391273636585,0.08565747273011433,3.3456587287137847,0.10455183527230577,1.976236944381095,0.06175740451190922,23.848978295158023,10.0,32.0,0.5340859460832938,28.0,3.0,3.0,5.0,11.0,0.09375,0.09375,0.15625,0.34375,312.5,40,82.52
features.1.conv.1,conv,2,16,1,False,16.0,0,32.0,32.0,160000,1.2214559046469602,5.979827420979513,0.37373921381121955,6.964254335432606,0.43526589596453785,4.1410746685168816,0.2588171667823051,,10,16,,16,6,7,9,11,0.375,0.4375,0.5625,0.6875,10000.0,16.0,10000.0,0.19603778310807787,2.836722116470511,0.17729513227940694,3.404385082229935,0.21277406763937093,2.0331449222323315,0.12707155763952072,,10.0,16.0,,16.0,3.0,3.0,6.0,8.0,0.1875,0.1875,0.375,0.5,625.0,40,82.52
features.1,block,3,16,1,False,,0,32.0,32.0,160000,1.9810273059590764,6.270840045904537,0.39192750286903355,7.2256939994169125,0.45160587496355703,4.357165792496915,0.2723228620310572,,10,16,,16,6,7,9,11,0.375,0.4375,0.5625,0.6875,10000.0,16.0,10000.0,0.3276590303964486,2.811155974725256,0.1756972484203285,3.4427647395219454,0.2151727962201216,1.9803878031396287,0.1237742376962268,,10.0,16.0,,16.0,3.0,4.0,6.0,8.0,0.1875,0.25,0.375,0.5,625.0,40,82.52
features.2.conv.0.0,conv,4,96,1,False,16.0,0,32.0,32.0,160000,4.863476298420268,5.200911684419919,0.05417616337937415,6.066598358831853,0.06319373290449846,3.6296144972802975,0.037808484346669766,6.578986213960784,10,96,0.7689264176537637,54,5,6,8,9,0.052083333333333336,0.0625,0.08333333333333333,0.09375,1666.6666666666667,96.0,10000.0,0.755459009738447,2.6506529994244583,0.027610968744004774,3.1909009680860794,0.03323855175089666,1.9406786125493514,0.020215402214055742,5.996859208896543,10.0,96.0,0.8543457382974174,56.0,3.0,3.0,5.0,8.0,0.03125,0.03125,0.052083333333333336,0.08333333333333333,104.16666666666667,40,82.52
features.2.conv.1.0,conv,5,96,96,True,96.0,0,32.0,32.0,160000,0.5231074967907818,12.301903165279516,0.1281448246383283,19.994242535164457,0.20827335974129643,5.763034309142101,0.06003160738689688,3.408467245987541,10,96,0.9034977584351723,94,20,27,49,75,0.20833333333333334,0.28125,0.5104166666666666,0.78125,1666.6666666666667,96.0,10000.0,0.024510040649832712,3.475594931029867,0.03620411386489445,5.065011982523895,0.05276054148462391,2.3379715609952623,0.02435387042703398,5.771347557000165,10.0,96.0,0.34230244144583943,94.0,5.0,6.0,16.0,37.0,0.052083333333333336,0.0625,0.16666666666666666,0.3854166666666667,104.16666666666667,40,82.52
features.2.conv.2,conv,6,24,1,False,24.0,0,32.0,32.0,160000,1.92632098187462,6.0247955195019305,0.25103314664591375,9.09223001282087,0.3788429172008696,2.9970664520832475,0.12487776883680198,5.99662543778736,10,24,0.8895937481384018,24,9,11,16,21,0.375,0.4583333333333333,0.6666666666666666,0.875,6666.666666666667,24.0,10000.0,0.09144081216066972,3.9858273743120765,0.16607614059633652,5.48277944832234,0.2284491436800975,2.4739900136426494,0.10308291723511039,5.883070590745498,10.0,24.0,0.9138587298180108,24.0,5.0,7.0,11.0,18.0,0.20833333333333334,0.2916666666666667,0.4583333333333333,0.75,416.6666666666667,40,82.52
features.2,block,7,24,1,False,,0,32.0,32.0,160000,3.188993106972395,5.8601118354251955,0.2441713264760498,8.979488652738542,0.3741453605307726,2.884222579144647,0.12017594079769363,6.3166593742051305,10,24,0.8982080892412232,24,9,11,16,21,0.375,0.4583333333333333,0.6666666666666666,0.875,6666.666666666667,24.0,10000.0,0.14390007261563537,4.192862431526609,0.1747026013136087,5.708147004103279,0.2378394585043033,2.591429605016659,0.1079762335423608,6.212895480953917,10.0,24.0,0.9034231809689713,24.0,5.0,7.0,11.0,17.0,0.20833333333333334,0.2916666666666667,0.4583333333333333,0.7083333333333334,416.6666666666667,40,82.52
features.3.conv.0.0,conv,8,144,1,False,24.0,0,32.0,32.0,160000,5.508962003089214,2.910558908314595,0.020212214641073575,4.915818307408814,0.03413762713478343,1.798197597700188,0.012487483317362416,10.205301898356895,10,144,0.8676498202319214,81,6,8,12,15,0.041666666666666664,0.05555555555555555,0.08333333333333333,0.10416666666666667,1111.111111111111,144.0,10000.0,0.1587604220232512,3.5000235531786763,0.024305719119296364,4.781881789465497,0.03320751242684373,2.2214132047919257,0.015426480588832817,9.575637647805276,10.0,144.0,0.8707853471243404,81.0,5.0,6.0,9.0,14.0,0.034722222222222224,0.041666666666666664,0.0625,0.09722222222222222,69.44444444444444,40,82.52
features.3.conv.1.0,conv,9,144,144,True,144.0,0,32.0,32.0,160000,0.2853148706572693,11.35730299628708,0.07887015969643806,19.542708607063695,0.1357132542157201,5.688131513353446,0.03950091328717671,8.605878046186424,10,144,0.21580499989695923,128,21,31,61,96,0.14583333333333334,0.2152777777777778,0.4236111111111111,0.6666666666666666,1111.111111111111,144.0,10000.0,0.001667245303610678,4.05676560065509,0.028171983337882567,6.12838248571776,0.04255821170637333,2.5369876294847518,0.017617969649199663,8.24713605752573,10.0,144.0,0.2557537357753379,128.0,5.0,8.0,22.0,53.0,0.034722222222222224,0.05555555555555555,0.1527777777777778,0.3680555555555556,69.44444444444444,40,82.52
features.3.conv.2,conv,10,24,1,False,24.0,0,32.0,32.0,160000,0.6182792092172831,6.655238268437118,0.27730159451821323,8.722994317837662,0.36345809657656925,3.7299160792501422,0.15541316996875593,5.862207287696399,10,24,0.9681530184202881,24,8,10,14,20,0.3333333333333333,0.4166666666666667,0.5833333333333334,0.8333333333333334,6666.666666666667,24.0,10000.0,0.03504036793400302,1.8874715450047017,0.07864464770852923,2.8493212200488633,0.11872171750203597,1.4049785809860018,0.05854077420775008,6.729989217079886,10.0,24.0,0.990240236567408,24.0,3.0,4.0,7.0,13.0,0.125,0.16666666666666666,0.2916666666666667,0.5416666666666666,416.6666666666667,40,82.52
features.3,block,11,24,1,False,,0,32.0,32.0,160000,6.4209892480454975,8.556356077206415,0.3565148365502673,11.340444751992795,0.4725185313330331,4.138501688981909,0.1724375703742462,5.155558043590018,10,24,0.9725854546790371,24,10,12,17,22,0.4166666666666667,0.5,0.7083333333333334,0.9166666666666666,6666.666666666667,24.0,10000.0,0.306283678326291,4.823714360898877,0.20098809837078654,6.765813799622667,0.2819089083176111,2.70196178890285,0.11258174120428542,5.971071065340318,10.0,24.0,0.9609923753929502,24.0,7.0,8.0,11.0,18.0,0.2916666666666667,0.3333333333333333,0.4583333333333333,0.75,416.6666666666667,40,82.52
features.4.conv.0.0,conv,12,144,1,False,24.0,0,32.0,32.0,160000,16.043554341049095,6.346997740539497,0.04407637319819095,8.604286934321223,0.059751992599452936,3.24091629115163,0.02250636313299743,10.595715478608392,10,144,0.8466556592193503,82,8,10,13,16,0.05555555555555555,0.06944444444444445,0.09027777777777778,0.1111111111111111,1111.111111111111,144.0,10000.0,0.8109934870963116,4.111744718600976,0.028553782768062332,5.698449352599557,0.03957256494860803,2.393923887291656,0.01662447143952539,9.393484616506871,10.0,144.0,0.8708476923953998,83.0,6.0,7.0,9.0,13.0,0.041666666666666664,0.04861111111111111,0.0625,0.09027777777777778,69.44444444444444,40,82.52
features.4.conv.1.0,conv,13,144,144,True,144.0,0,16.0,16.0,160000,0.477154492057481,10.162171974767894,0.07057063871366592,18.816457396464724,0.13066984303100504,4.35583435527235,0.03024884968939132,8.57211390494804,10,144,0.1968875384827664,126,20,34,71,107,0.1388888888888889,0.2361111111111111,0.4930555555555556,0.7430555555555556,1111.111111111111,144.0,10000.0,0.05558646876330681,4.798291670323559,0.033321469932802494,7.297511860131078,0.050677165695354714,2.712849446522542,0.01883923226751765,6.8504395544052255,10.0,144.0,0.28095776557286756,125.0,7.0,9.0,19.0,52.0,0.04861111111111111,0.0625,0.13194444444444445,0.3611111111111111,69.44444444444444,40,82.52
